Wind,Kd,a,b,c
1,0.06,-8.75419551402095e-06,0.00391476181568956,0.00898603858441446
1,0.07,-6.36739975863556e-06,0.00359117011277463,0.00940015161516993
1,0.08,-7.47253828585211e-06,0.00353811806367825,0.0081287480914684
1,0.09,-4.86521857486173e-06,0.00337115765280332,0.00803365344438405
1,0.1,-4.35099437891911e-06,0.00328490577473799,0.00791948202140023
1,0.11,-2.66019139248758e-06,0.00317176295713576,0.00808693730173135
1,0.12,-3.38238116890519e-07,0.00308753456015937,0.00811883349119048
1,0.13,2.14218803817149e-06,0.00301006524097118,0.00807430635195308
1,0.14,1.27584929144808e-05,0.00275413507715705,0.00872028095756257
1,0.15,1.0631762264444e-06,0.00298715929896735,0.00777772032099451
1,0.16,5.0564398548091e-06,0.0029014767687239,0.00792327867630472
1,0.17,1.07280427593634e-05,0.00276983644274673,0.00799528693968792
1,0.18,4.0185530692394e-06,0.0029024041379346,0.00769364603622825
1,0.19,1.36107151380679e-05,0.00271607229418833,0.00808359798147143
1,0.2,2.07628480116596e-05,0.00261057026067274,0.00835850193010544
1,0.21,1.82519636785074e-05,0.0026486317021707,0.00801785529671712
1,0.22,5.10863095800908e-06,0.00290834989505848,0.00743596248281417
1,0.23,1.4385441390656e-05,0.00272269722983565,0.00778770921180345
1,0.24,3.17146094051641e-05,0.00251373276990303,0.00832943337142787
1,0.25,3.10589358357275e-05,0.00253504531335862,0.00800574280848018
1,0.26,2.53526415576744e-05,0.00260874494678816,0.007812501949088
1,0.27,2.20923080404692e-05,0.00263766428645832,0.00798880180808544
1,0.28,4.7009695613413e-05,0.00235076921789528,0.00856827336290444
1,0.29,2.11375784023798e-05,0.00271439324502371,0.00768424312967872
1,0.3,1.81772289722839e-05,0.00279555817357854,0.00747101034830466
1,0.31,5.7651567702643e-05,0.00230831586254122,0.00840736598904856
1,0.32,5.34063950392763e-05,0.00231592832048257,0.00846887264702003
1,0.33,4.05022046679077e-05,0.00253081344449192,0.00793735540174039
1,0.34,6.65611380072067e-05,0.00234418968530636,0.00840721110860177
1,0.35,3.42479325788825e-05,0.00263882189587448,0.00798162007317187
1,0.36,6.21757222238192e-05,0.00241594473014386,0.00822074314744893
2,0.06,-9.64191378975737e-07,0.00356246039854229,0.0127090775489837
2,0.07,6.22370566448242e-06,0.00316295678869337,0.0124244791402152
2,0.08,1.34149684704919e-05,0.00294706809157973,0.0115081828261605
2,0.09,1.93317233362571e-05,0.00283908163244604,0.0108261984033151
2,0.1,2.27786449658372e-05,0.00284058775324837,0.00961500079573643
2,0.11,2.8051963334242e-05,0.00275412778637951,0.00950696576149412
2,0.12,3.70333996180777e-05,0.00257304704794787,0.00984665081184151
2,0.13,3.65882836546012e-05,0.00267715103842069,0.00892134679616192
2,0.14,3.84286872992147e-05,0.00277695420143723,0.00796095771439553
2,0.15,4.24482914189045e-05,0.0027046851572193,0.00803918523906206
2,0.16,4.76258868702082e-05,0.00266997073071716,0.00802559212570087
2,0.17,5.80360623144965e-05,0.00258186772042513,0.00796532808328016
2,0.18,5.05305504979904e-05,0.00274341289162604,0.00730362491544475
2,0.19,5.19839949402133e-05,0.0028200752190878,0.00701428080722383
2,0.2,6.26840376587782e-05,0.00262679449764072,0.00772281007520803
2,0.21,7.21967339487324e-05,0.00252705603679277,0.00765374533387684
2,0.22,5.25174352549156e-05,0.0028748184245204,0.00687219640962886
2,0.23,5.21810297783152e-05,0.00292095764527007,0.00678077908615557
2,0.24,9.93700800433002e-05,0.00238409070152893,0.00797952914012756
2,0.25,8.71806203666947e-05,0.00250974047493878,0.00771191917243787
2,0.26,6.9397804656319e-05,0.00281956300857114,0.00696569931037133
2,0.27,9.72567886688508e-05,0.00247783515459889,0.00773297173748894
2,0.28,8.39398159568347e-05,0.00270342693681239,0.00719850348867864
2,0.29,7.20221663227769e-05,0.00286649095671078,0.00708576348454098
2,0.3,8.5389083283919e-05,0.00277074704426113,0.0073071060757645
2,0.31,0.000123178600498036,0.00231121167224159,0.00816037777155202
2,0.32,0.000107250596798739,0.00249943267796256,0.00755496823084494
2,0.33,0.000143705395708891,0.0022262177471511,0.00824688889664593
2,0.34,0.000143789034655942,0.00224319792053289,0.00826447487942067
2,0.35,0.000108351900980153,0.0026189635836951,0.00770730348289986
2,0.36,0.000147581419958177,0.0023726405064672,0.00800334676492815
3,0.06,2.36743651891429e-06,0.00347647579835496,0.013974143150402
3,0.07,1.06708862938729e-05,0.00312866023023639,0.0129922270919644
3,0.08,2.03351514598311e-05,0.00288993376224774,0.011870338910527
3,0.09,2.58718241474897e-05,0.00281989446194512,0.0108421100226846
3,0.1,4.01080513266952e-05,0.0025097648451701,0.0115769132387038
3,0.11,4.81348951510181e-05,0.00241169411812328,0.0109130214520399
3,0.12,4.89655604513055e-05,0.00259290723764139,0.00944168014698259
3,0.13,5.1125831634342e-05,0.00267783546956481,0.00821750415477737
3,0.14,5.70060779739363e-05,0.00270258920317184,0.00822131230218853
3,0.15,6.41837553381383e-05,0.0025561618631798,0.00861624644247081
3,0.16,7.62389708012575e-05,0.00245704193469112,0.00851775215541305
3,0.17,8.65153062090572e-05,0.00233972131740678,0.00869597534906545
3,0.18,7.49859553240555e-05,0.00269376200103303,0.00745002117535941
3,0.19,8.53255566576491e-05,0.00260502032288155,0.00741989676236429
3,0.2,9.65474078114029e-05,0.00241990784942487,0.00818482858931693
3,0.21,8.7903856892041e-05,0.0026682327544301,0.00746642924300882
3,0.22,7.56082767523031e-05,0.00294531793781768,0.00666405581860056
3,0.23,7.59496780320736e-05,0.00296651500165019,0.00667928054187911
3,0.24,0.00012395962492677,0.00245068776740004,0.00773847815415577
3,0.25,0.00014079286860177,0.00223271370427944,0.00799530184131868
3,0.26,0.00010860660752679,0.00267992334482018,0.00736215543268124
3,0.27,0.000100071035141566,0.00285515028311275,0.00673987364038076
3,0.28,0.000123848113623465,0.00270508185208317,0.00693505654838571
3,0.29,0.000132178365660852,0.00255824068057164,0.00752044176021816
3,0.3,0.000124367674025975,0.00270424236556197,0.00722550138669015
3,0.31,0.000123705874708184,0.00270718712232202,0.00720914135317674
3,0.32,0.000160919509585733,0.00232614371165056,0.00804227956136971
3,0.33,0.000136212607394288,0.00277116048386455,0.00705424718324981
3,0.34,0.000180018581582115,0.00237799851109187,0.00791867958400381
3,0.35,0.000125624242258238,0.00292219893876917,0.00681503332974378
3,0.36,0.000133588490598804,0.0028007429773832,0.00742702616512024
4,0.06,5.29887512025651e-06,0.00341062092049073,0.0159888537349162
4,0.07,1.91968469286649e-05,0.00288021393491508,0.0154296852362159
4,0.08,2.81538082075361e-05,0.00272724784863948,0.0137729118073644
4,0.09,3.816498033363e-05,0.00262221617770337,0.0122405980684056
4,0.1,4.58620270062681e-05,0.00257301840803093,0.0113078432451227
4,0.11,5.31600802679445e-05,0.00255362032052593,0.0103303424360494
4,0.12,5.90647793835329e-05,0.00259672753446962,0.0095541732063078
4,0.13,6.75218779945113e-05,0.00255189639758111,0.00914447248856244
4,0.14,7.96180753796481e-05,0.00243254036557138,0.00922534937660437
4,0.15,8.36935165137535e-05,0.00242345765383717,0.00912232377324786
4,0.16,7.34835011055187e-05,0.00292363854326261,0.00710032280438704
4,0.17,8.95465170431861e-05,0.00260504726219279,0.0078742297111146
4,0.18,8.43954452998199e-05,0.00284197677381135,0.00699982952451905
4,0.19,9.01768024047387e-05,0.0027967188906962,0.00726467747427586
4,0.2,0.000101170044635477,0.00274688024546323,0.00696018537838906
4,0.21,0.000106057156002235,0.00273343110053694,0.0073998702605697
4,0.22,9.92100689519039e-05,0.00290309095496206,0.00665902440703078
4,0.23,8.94121159800986e-05,0.00308964193186868,0.00637757192297726
4,0.24,0.000109703488296696,0.00306089621012399,0.00656000700544796
4,0.25,0.000124848379909459,0.00289563495438513,0.00651121385185303
4,0.26,0.000103424516514915,0.00313621931657667,0.00623385657040955
4,0.27,0.000130291027534067,0.00279641248690414,0.00711293446441773
4,0.28,0.00014132922604461,0.00278563811810805,0.00701855032550168
4,0.29,0.000143298291439573,0.00286009578443288,0.00695691507200438
4,0.3,0.00012562562573595,0.00314997958856734,0.00628800792374141
4,0.31,0.000150220679243558,0.00283054850103483,0.00684023756396427
4,0.32,0.000156335513217492,0.00275260219064623,0.00721830613448788
4,0.33,0.000241593077749372,0.00188462974245272,0.00895146308864128
4,0.34,0.000143724997465406,0.00318374141513696,0.00653052017127383
4,0.35,0.000136397493345599,0.00315958953036741,0.0063624219318557
4,0.36,0.000226621908593736,0.00244423358964577,0.00782476985296393
5,0.06,8.14595739030945e-06,0.00343890624052669,0.0172873204732479
5,0.07,2.52353347791439e-05,0.0028386176300002,0.0167520073651074
5,0.08,3.57772591651002e-05,0.00279318275631208,0.013816938264001
5,0.09,4.62857066825072e-05,0.00270263462708494,0.0123595537317846
5,0.1,5.47802556508707e-05,0.00268717994409915,0.0105687234740021
5,0.11,7.00804716197898e-05,0.00243786698442741,0.0109233751294958
5,0.12,7.77413754817225e-05,0.00247131825200325,0.0102751182498368
5,0.13,8.98706795642685e-05,0.00241250446189613,0.00980953094325616
5,0.14,8.27226419470802e-05,0.00286063366331852,0.00781290244838285
5,0.15,8.44498724251199e-05,0.00295455974751569,0.00695917875491982
5,0.16,0.000102849755435126,0.00268478720324321,0.00772770004140919
5,0.17,0.000105402244981966,0.00273909006232767,0.00757805863471495
5,0.18,0.00010011406185028,0.00304328273673786,0.00631620677223741
5,0.19,0.000109617951239226,0.00299009282851685,0.00658178507863744
5,0.2,0.000106242121032279,0.00310253110990349,0.00644263508775786
5,0.21,0.000114556679280078,0.00305629919356406,0.0064939979975378
5,0.22,0.000113156834486893,0.00320379333176812,0.00584837309667703
5,0.23,0.00011720689203372,0.0031055131669663,0.00652928828192591
5,0.24,0.000135525990130803,0.00323069855630383,0.00591330266499988
5,0.25,0.000143905686972665,0.00308926942794366,0.00597855027222263
5,0.26,0.000125539949506909,0.00336292340771021,0.00579259539813013
5,0.27,0.000155929484516604,0.00302508603327635,0.00650487007890562
5,0.28,0.00015012054216178,0.00323886133971861,0.00583519734502995
5,0.29,0.000172681430305814,0.00302099603233816,0.00665656024420236
5,0.3,0.000145005064833087,0.00339590047954274,0.00589474503189409
5,0.31,0.000177749184949414,0.00305311511769794,0.00655035498072608
5,0.32,0.000194804973400684,0.0028031591843159,0.00697360921037614
5,0.33,0.000199754517586988,0.00293276731068647,0.00687611337509942
5,0.34,0.000175198321714314,0.00316768810731475,0.0067487350128818
5,0.35,0.000124874347399571,0.00395919724698419,0.00498882675831486
5,0.36,0.000182674379403075,0.00338703266866626,0.00607964373753042
6,0.06,1.27715581002081e-05,0.00329006682562667,0.0199821016639106
6,0.07,3.22481695555801e-05,0.00267918960913133,0.0185319262726197
6,0.08,4.7077965878153e-05,0.00253934421701316,0.0153973915225113
6,0.09,5.68930885697887e-05,0.00254515307133052,0.0134115145396814
6,0.1,7.59321742980803e-05,0.00225083833164504,0.0133271883398222
6,0.11,8.40663254331128e-05,0.0023556798800425,0.0116087389336856
6,0.12,7.7993096713254e-05,0.0028705888728686,0.00835579402140219
6,0.13,8.27350953676728e-05,0.00297222054664611,0.00763035428720003
6,0.14,9.54600269823163e-05,0.00291880259658429,0.00740281108968882
6,0.15,8.86268903479243e-05,0.00329003018902602,0.00573767323618412
6,0.16,0.000110710418894987,0.00301906178230155,0.00652678324634721
6,0.17,0.000116032620372845,0.00295799531708974,0.00680690753716188
6,0.18,0.00011718393627814,0.00314378927926047,0.00618791536026299
6,0.19,8.51461706744345e-05,0.00391423635000417,0.00385685664153718
6,0.2,0.000134089641175315,0.00306308161747194,0.00633983856688988
6,0.21,0.000111988750693378,0.00370164103572566,0.00428927252523391
6,0.22,0.000111710301837672,0.00372953071122954,0.00464600706612031
6,0.23,0.000155167936455961,0.00297547711006843,0.00664293776522703
6,0.24,0.000149630122437326,0.00346305251642183,0.00543362780114209
6,0.25,0.000194549598623761,0.00276823757357614,0.00707870272960241
6,0.26,0.000137085703811752,0.00363126459253562,0.00519144644725814
6,0.27,0.000173948174386937,0.0032971210668976,0.0059146219194461
6,0.28,0.000180588308207156,0.00326663981617539,0.0060779931250893
6,0.29,0.000150255666856507,0.00369087767969963,0.00529067104128885
6,0.3,0.000199070615858495,0.00315269383835067,0.00631494516577088
6,0.31,0.000174763545079263,0.00364906204435083,0.00540967861043284
6,0.32,0.000183780056125256,0.00342472863640136,0.00605867423972199
6,0.33,0.000249405224804529,0.00286522583594549,0.00690425288174247
6,0.34,0.000166307133530512,0.00389706322031919,0.00534282332932107
6,0.35,0.000187277192569242,0.00372898789571879,0.00548084720205833
6,0.36,0.000243395678896239,0.00313068171547514,0.00658528633069422
7,0.06,1.42780250221682e-05,0.00331516753790215,0.0203973549937695
7,0.07,3.90842758675124e-05,0.00251711015727513,0.0205186603012161
7,0.08,4.92379454756218e-05,0.00259385342867834,0.0156497169493092
7,0.09,6.47593975407138e-05,0.00253377198215792,0.0130895944574398
7,0.1,8.31846844360184e-05,0.00222036855522322,0.0138665333610771
7,0.11,8.69513856218831e-05,0.00251910872468403,0.0107700661610019
7,0.12,9.26998432837024e-05,0.0026853040765008,0.00906954987870893
7,0.13,0.000103194286943229,0.00270807867124061,0.00856505692925202
7,0.14,9.95681879874169e-05,0.00317663627914219,0.00627421662738048
7,0.15,0.000106013993470824,0.00313632485271251,0.00649239774269401
7,0.16,0.000113793972979051,0.00317924438043793,0.0061478122657296
7,0.17,0.000149099797573799,0.00257328176285996,0.00814593916948819
7,0.18,0.000126029239918268,0.00320418258075132,0.00625397547673162
7,0.19,0.000139242210640527,0.0032297863888311,0.0056694843878694
7,0.2,0.000145639533901726,0.0031895304322261,0.00606466842146867
7,0.21,0.00014957643036715,0.00311315552359031,0.00645743975178108
7,0.22,8.86803732699897e-05,0.00438701845465434,0.00273453389847782
7,0.23,0.000155724264310973,0.00336593224088607,0.00579751221436487
7,0.24,0.000152027265910742,0.0036974752485208,0.00513497594256313
7,0.25,0.000219632175555097,0.00264237429065031,0.00728326294855302
7,0.26,0.000159502294595754,0.00373217024182229,0.0048747028182014
7,0.27,0.000171821817717639,0.00357523956474911,0.00518324367551505
7,0.28,0.000170675415378072,0.0037296637589459,0.00510249390396845
7,0.29,0.000194131593826573,0.00354617028253794,0.00535226771556112
7,0.3,0.0001412969608988,0.00420331264542573,0.00425631194025788
7,0.31,0.000223276832600218,0.00326516845289607,0.00599719733766291
7,0.32,0.000195797343605323,0.00372633374200801,0.0053430290221218
7,0.33,0.000246087726250664,0.00306586165917045,0.00657196612809278
7,0.34,0.000226179362829094,0.00345535130768529,0.00621637084485329
7,0.35,0.000162876045043151,0.00408118902121585,0.00514902756922209
7,0.36,0.000266176936574905,0.00329856142757334,0.00627910131531197
8,0.06,1.67715676184976e-05,0.00322701280497682,0.0213545296296475
8,0.07,3.85168158215585e-05,0.00263780831158544,0.0187909007220477
8,0.08,5.87949318251799e-05,0.00226300471666509,0.0181433865151469
8,0.09,6.49030086421206e-05,0.0025665966153816,0.0131928351941707
8,0.1,7.3178612230764e-05,0.00269293048141033,0.0105897769473717
8,0.11,9.33377086854023e-05,0.00237983469581418,0.0114034025919139
8,0.12,9.62836117550898e-05,0.00272581727062904,0.00913081314741656
8,0.13,0.000106689914800238,0.00269904442125491,0.00843563386494883
8,0.14,0.000110257445733857,0.00294145881177939,0.00758040448006427
8,0.15,0.000114465559966748,0.00307126122771651,0.00673711633341253
8,0.16,0.000121517682677256,0.00312024605333478,0.00639911308809567
8,0.17,0.00014894803445072,0.00273402027980557,0.00760385910626224
8,0.18,0.000134646183590578,0.00325420913332945,0.0054984307980351
8,0.19,0.000139493077366268,0.00330267583906948,0.00564704780215625
8,0.2,0.000137353111756357,0.00350041812705956,0.00502303916035836
8,0.21,0.000145141632551081,0.00349540737790449,0.0050729441831648
8,0.22,0.000141078423243091,0.00366879464767664,0.00460746689143902
8,0.23,0.000133796469415753,0.00376088971444542,0.00482011181964511
8,0.24,0.000169340736552766,0.00372105903450083,0.00481817938104963
8,0.25,0.00017679868488322,0.00353495372338163,0.00498074728410991
8,0.26,0.000197713763448559,0.00309946461833462,0.00673231699528036
8,0.27,0.000191471296665406,0.00342128665733627,0.00562824559957561
8,0.28,0.000204135169563281,0.00334167791511328,0.00590983153386458
8,0.29,0.000178065647676032,0.00394777797325237,0.00463681914628064
8,0.3,0.000194678416464646,0.0037112569453368,0.00526433767383226
8,0.31,0.000250532485293479,0.00297156396042543,0.00680611277480193
8,0.32,0.000216678520834987,0.00356937747691132,0.00530296468641774
8,0.33,0.000254118982889386,0.00318388409088027,0.00643620996601186
8,0.34,0.000202621535978317,0.00391982444881271,0.00517007994466338
8,0.35,0.000174249354449917,0.00432251858627374,0.00415120566935184
8,0.36,0.00031228222758898,0.00282635368269299,0.00743212854436512
9,0.06,1.66633036482898e-05,0.00321677933538195,0.0220127944406151
9,0.07,3.98931964350307e-05,0.00258365193383534,0.0198751047508243
9,0.08,5.42994982359609e-05,0.00249752784348687,0.0160623530391767
9,0.09,6.67810779737492e-05,0.00254536949327174,0.0129543669589153
9,0.1,8.17774895601898e-05,0.00241187621272841,0.0125630173239745
9,0.11,9.5334766701574e-05,0.00240118145044046,0.0114785015550331
9,0.12,9.27353410667592e-05,0.00289776092503793,0.0082939537698664
9,0.13,0.000103140079658101,0.00282144471812563,0.00839106147331254
9,0.14,0.000103874132607222,0.00317745554902401,0.00644554419151924
9,0.15,0.000114240517852123,0.00304500051455501,0.00709937324449859
9,0.16,0.000107034771972848,0.0035228790473462,0.00504501794632757
9,0.17,0.000138112223343653,0.00294223057778676,0.0068152860831259
9,0.18,0.0001248784621134,0.00338747427137212,0.00552306620833428
9,0.19,0.000130251880447456,0.00358628086967467,0.00470011300030442
9,0.2,0.000136880704281157,0.0035261662252888,0.00501344046518422
9,0.21,0.000155509694430733,0.0033387094976373,0.0055247533618483
9,0.22,0.000132183078004743,0.0038449736195198,0.00418804939405602
9,0.23,0.000141104309547325,0.00372975554273971,0.00505865200407114
9,0.24,0.000133763379341692,0.00431515912412795,0.00346035027768095
9,0.25,0.000177456706519913,0.00350180144182131,0.00515066860679573
9,0.26,0.000158895546150356,0.00388526159754438,0.00463521349999456
9,0.27,0.000165652253332139,0.00390952482637135,0.00444561792223764
9,0.28,0.000178425666317155,0.0036679801800736,0.00540331306759863
9,0.29,0.00016091475838746,0.00422251324410215,0.0040953015766469
9,0.3,0.000163524553682543,0.00417651249334928,0.00407984323756814
9,0.31,0.000257344973915091,0.00301850873895489,0.00644626995349924
9,0.32,0.00020594733308621,0.00377429452633641,0.0051022425014455
9,0.33,0.000212587705701379,0.00362024573623383,0.00596290681068989
9,0.34,0.000160677326101845,0.0045748011084518,0.00408192923466187
9,0.35,0.000184553636650916,0.004185707130475,0.00436859225474022
9,0.36,0.000227714372118743,0.00392042702888774,0.00516800235329708
10,0.06,1.77085229675836e-05,0.00317325073703577,0.021174111136818
10,0.07,4.61234352000639e-05,0.0022970673375428,0.021601751929229
10,0.08,5.60587928042215e-05,0.00244343857770414,0.0163067450554716
10,0.09,7.33300338571932e-05,0.0023748844693734,0.0143924967841475
10,0.1,8.11833141389558e-05,0.0025000903483032,0.0118563150911947
10,0.11,9.89948100557332e-05,0.0022888686147324,0.0118517799932786
10,0.12,9.80993574207114e-05,0.00272455913015254,0.00899394398170728
10,0.13,0.000106566657364078,0.00279941505966074,0.00826474663870711
10,0.14,0.000118021128105621,0.0028238077434648,0.00778274635869177
10,0.15,0.000116503365602254,0.00312707407923448,0.0062287390478264
