Wind,Kd,a,b,c
1,0.06,0.003342286,0.003342286,0.014320829
1,0.07,0.003215363,0.003215363,0.012077842
1,0.08,0.003187461,0.003187461,0.009955766
1,0.09,0.003194484,0.003194484,0.007903214
1,0.1,0.003126688,0.003126688,0.007746245
1,0.11,0.003110133,0.003110133,0.007114757
1,0.12,0.003097956,0.003097956,0.006571083
1,0.13,0.003095363,0.003095363,0.005840415
1,0.14,0.003178931,0.003178931,0.00497361
1,0.15,0.003102907,0.003102907,0.005089843
1,0.16,0.003111312,0.003111312,0.004885135
1,0.17,0.003085919,0.003085919,0.004662804
1,0.18,0.00309262,0.00309262,0.004523094
1,0.19,0.003150247,0.003150247,0.004118391
1,0.2,0.003083044,0.003083044,0.004364324
1,0.21,0.003020441,0.003020441,0.004514868
1,0.22,0.003035028,0.003035028,0.004234333
1,0.23,0.002996211,0.002996211,0.004326981
1,0.24,0.003129862,0.003129862,0.003850236
1,0.25,0.003129493,0.003129493,0.00356563
1,0.26,0.003031965,0.003031965,0.004005747
1,0.27,0.00308476,0.00308476,0.003687881
1,0.28,0.003076313,0.003076313,0.003745122
1,0.29,0.003093766,0.003093766,0.003567753
1,0.3,0.003092898,0.003092898,0.00367499
1,0.31,0.00307139,0.00307139,0.00351645
1,0.32,0.003090668,0.003090668,0.003545701
1,0.33,0.00304069,0.00304069,0.003664888
1,0.34,0.003064916,0.003064916,0.003514113
1,0.35,0.003013369,0.003013369,0.00378563
1,0.36,0.003096687,0.003096687,0.003473839
2,0.06,0.003471348,0.003471348,0.012458203
2,0.07,0.00352671,0.00352671,0.008122748
2,0.08,0.003671467,0.003671467,0.003846714
2,0.09,0.003773277,0.003773277,0.002422356
2,0.1,0.003816394,0.003816394,0.001295022
2,0.11,0.00381679,0.00381679,0.000846119
2,0.12,0.003852683,0.003852683,0.000675968
2,0.13,0.003833542,0.003833542,0.000914426
2,0.14,0.003963299,0.003963299,-0.00016629
2,0.15,0.003874277,0.003874277,0.000711185
2,0.16,0.004026412,0.004026412,-0.000421543
2,0.17,0.003992811,0.003992811,-4.30E-05
2,0.18,0.003966909,0.003966909,0.000100532
2,0.19,0.004006841,0.004006841,0.000138008
2,0.2,0.004077917,0.004077917,-0.000222225
2,0.21,0.003974899,0.003974899,0.000241245
2,0.22,0.003888074,0.003888074,0.001127082
2,0.23,0.003970381,0.003970381,0.000668568
2,0.24,0.004084476,0.004084476,0.000579995
2,0.25,0.004144686,0.004144686,-0.000233071
2,0.26,0.004091846,0.004091846,0.00035823
2,0.27,0.004056551,0.004056551,0.000596299
2,0.28,0.004079531,0.004079531,0.000532032
2,0.29,0.003970853,0.003970853,0.001040618
2,0.3,0.004048234,0.004048234,0.000746833
2,0.31,0.004024834,0.004024834,0.001018461
2,0.32,0.004030976,0.004030976,0.000981179
2,0.33,0.004044758,0.004044758,0.001155407
2,0.34,0.004096672,0.004096672,0.001046427
2,0.35,0.003986513,0.003986513,0.001354122
2,0.36,0.004085345,0.004085345,0.00112229
3,0.06,0.003608207,0.003608207,0.011946377
3,0.07,0.003742365,0.003742365,0.006172217
3,0.08,0.003953349,0.003953349,0.001447472
3,0.09,0.004092574,0.004092574,-0.00073594
3,0.1,0.004197811,0.004197811,-0.001967128
3,0.11,0.004252078,0.004252078,-0.002127114
3,0.12,0.004384253,0.004384253,-0.00299586
3,0.13,0.004300075,0.004300075,-0.001746924
3,0.14,0.004420117,0.004420117,-0.002670745
3,0.15,0.004402913,0.004402913,-0.002030179
3,0.16,0.004495331,0.004495331,-0.002779751
3,0.17,0.004460543,0.004460543,-0.002136438
3,0.18,0.004504658,0.004504658,-0.002117758
3,0.19,0.004505909,0.004505909,-0.001921547
3,0.2,0.00460103,0.00460103,-0.00221058
3,0.21,0.004488411,0.004488411,-0.00142493
3,0.22,0.004537181,0.004537181,-0.001638101
3,0.23,0.004352893,0.004352893,-0.000268603
3,0.24,0.004644667,0.004644667,-0.001242873
3,0.25,0.004518919,0.004518919,-0.00104363
3,0.26,0.004424914,0.004424914,-0.000176456
3,0.27,0.004596759,0.004596759,-0.000964063
3,0.28,0.004662023,0.004662023,-0.001171388
3,0.29,0.004598308,0.004598308,-0.000666764
3,0.3,0.00465084,0.00465084,-0.000921069
3,0.31,0.004548338,0.004548338,-0.000424514
3,0.32,0.004578745,0.004578745,-0.000543633
3,0.33,0.00459183,0.00459183,-0.000371306
3,0.34,0.004589322,0.004589322,0.000205798
3,0.35,0.004461008,0.004461008,0.000312952
3,0.36,0.004597676,0.004597676,1.02583990633683e-05
4,0.06,0.003754192,0.003754192,0.011822505
4,0.07,0.003973475,0.003973475,0.004570049
4,0.08,0.00422119,0.00422119,-0.000765962
4,0.09,0.004391605,0.004391605,-0.002769248
4,0.1,0.00454769,0.00454769,-0.004346597
4,0.11,0.004574442,0.004574442,-0.00402996
4,0.12,0.004691939,0.004691939,-0.004353997
4,0.13,0.004705484,0.004705484,-0.003969454
4,0.14,0.004799616,0.004799616,-0.004137924
4,0.15,0.004771048,0.004771048,-0.004109627
4,0.16,0.004851579,0.004851579,-0.003645802
4,0.17,0.004860333,0.004860333,-0.00373304
4,0.18,0.004955794,0.004955794,-0.003996529
4,0.19,0.004933231,0.004933231,-0.003439225
4,0.2,0.004948034,0.004948034,-0.003168826
4,0.21,0.00497706,0.00497706,-0.003240307
4,0.22,0.0049244,0.0049244,-0.002541853
4,0.23,0.004872591,0.004872591,-0.002043179
4,0.24,0.00501136,0.00501136,-0.002307851
4,0.25,0.005036813,0.005036813,-0.002585241
4,0.26,0.004999133,0.004999133,-0.001876575
4,0.27,0.004964883,0.004964883,-0.00178825
4,0.28,0.005019915,0.005019915,-0.001709259
4,0.29,0.005050015,0.005050015,-0.00172691
4,0.3,0.004970383,0.004970383,-0.001419077
4,0.31,0.004923498,0.004923498,-0.001056452
4,0.32,0.004949214,0.004949214,-0.001129845
4,0.33,0.004975725,0.004975725,-0.000967034
4,0.34,0.004874393,0.004874393,-0.000374389
4,0.35,0.004940485,0.004940485,-0.000566494
4,0.36,0.005113072,0.005113072,-0.001283569
5,0.06,0.003922537,0.003922537,0.011785328
5,0.07,0.004243977,0.004243977,0.002657368
5,0.08,0.004635697,0.004635697,-0.003764609
5,0.09,0.004864301,0.004864301,-0.006284734
5,0.1,0.004998917,0.004998917,-0.007381501
5,0.11,0.005022783,0.005022783,-0.00677918
5,0.12,0.005197787,0.005197787,-0.006965028
5,0.13,0.005181137,0.005181137,-0.006199663
5,0.14,0.005333529,0.005333529,-0.006724711
5,0.15,0.005268575,0.005268575,-0.005655137
5,0.16,0.005421839,0.005421839,-0.006434556
5,0.17,0.005441878,0.005441878,-0.005768144
5,0.18,0.005540896,0.005540896,-0.006384799
5,0.19,0.005549088,0.005549088,-0.005329641
5,0.2,0.005523287,0.005523287,-0.004977252
5,0.21,0.005426612,0.005426612,-0.004139463
5,0.22,0.005562492,0.005562492,-0.00473785
5,0.23,0.005380814,0.005380814,-0.0033564
5,0.24,0.005767541,0.005767541,-0.004420419
5,0.25,0.005547925,0.005547925,-0.003848279
5,0.26,0.005530507,0.005530507,-0.003315852
5,0.27,0.005626081,0.005626081,-0.003330271
5,0.28,0.005618055,0.005618055,-0.003438068
5,0.29,0.005391925,0.005391925,-0.001832852
5,0.3,0.005558998,0.005558998,-0.002667295
5,0.31,0.005531512,0.005531512,-0.002249352
5,0.32,0.005497335,0.005497335,-0.002056806
5,0.33,0.005622267,0.005622267,-0.00256134
5,0.34,0.005567409,0.005567409,-0.001958415
5,0.35,0.00565392,0.00565392,-0.002143723
