Wind,Kd,a,b,c
1,0.06,0.004443702,0.004443702,0.005821766
1,0.07,0.00427526,0.00427526,0.006794168
1,0.08,0.00407735,0.00407735,0.008424931
1,0.09,0.003958254,0.003958254,0.008655579
1,0.1,0.003859198,0.003859198,0.008177976
1,0.11,0.003769011,0.003769011,0.008520991
1,0.12,0.003679265,0.003679265,0.008299939
1,0.13,0.003673843,0.003673843,0.007411111
1,0.14,0.003620518,0.003620518,0.007095002
1,0.15,0.003562153,0.003562153,0.007352227
1,0.16,0.003470062,0.003470062,0.007359621
1,0.17,0.003478414,0.003478414,0.00682137
1,0.18,0.003415627,0.003415627,0.006485761
1,0.19,0.003360449,0.003360449,0.006790402
1,0.2,0.003328492,0.003328492,0.006329864
1,0.21,0.003301466,0.003301466,0.00641751
1,0.22,0.003288794,0.003288794,0.006239415
1,0.23,0.003312872,0.003312872,0.005622449
1,0.24,0.003307872,0.003307872,0.005104553
1,0.25,0.003190577,0.003190577,0.005673719
1,0.26,0.003332081,0.003332081,0.004667813
1,0.27,0.003283568,0.003283568,0.004936043
1,0.28,0.003303438,0.003303438,0.004426908
1,0.29,0.003285932,0.003285932,0.004385405
1,0.3,0.003246566,0.003246566,0.004906946
1,0.31,0.003217535,0.003217535,0.004778946
1,0.32,0.003279413,0.003279413,0.00425034
1,0.33,0.00309071,0.00309071,0.004741574
1,0.34,0.003212198,0.003212198,0.003955354
1,0.35,0.003193398,0.003193398,0.004140052
1,0.36,0.003099347,0.003099347,0.004390316
2,0.06,0.012321332,0.012321332,0.011006732
2,0.07,0.011602981,0.011602981,0.019759338
2,0.08,0.011038169,0.011038169,0.024123573
2,0.09,0.010388002,0.010388002,0.029366842
2,0.1,0.010156574,0.010156574,0.027621821
2,0.11,0.009895465,0.009895465,0.026501953
2,0.12,0.009435223,0.009435223,0.027244382
2,0.13,0.009270064,0.009270064,0.027168643
2,0.14,0.009197281,0.009197281,0.024078026
2,0.15,0.009093122,0.009093122,0.025180251
