Wind,Kd,a,b,c
1,0.06,0.004739234,0.004739234,0.006789593
1,0.07,0.004292339,0.004292339,0.003309822
1,0.08,0.003911384,0.003911384,0.003430691
1,0.09,0.003667103,0.003667103,0.003467196
1,0.1,0.003463093,0.003463093,0.004107301
1,0.11,0.003274873,0.003274873,0.004971263
1,0.12,0.003227709,0.003227709,0.004672047
1,0.13,0.003150167,0.003150167,0.004809127
1,0.14,0.00309319,0.00309319,0.005002152
1,0.15,0.003073806,0.003073806,0.004787845
1,0.16,0.003054079,0.003054079,0.004700998
1,0.17,0.0030057,0.0030057,0.00482373
1,0.18,0.002931228,0.002931228,0.005170504
1,0.19,0.003047709,0.003047709,0.004347668
1,0.2,0.003038166,0.003038166,0.004426163
1,0.21,0.0029813,0.0029813,0.00443439
1,0.22,0.002976723,0.002976723,0.004417975
1,0.23,0.002940204,0.002940204,0.004550554
1,0.24,0.003030789,0.003030789,0.004097771
1,0.25,0.002960513,0.002960513,0.00422499
1,0.26,0.003005174,0.003005174,0.00402023
1,0.27,0.002996857,0.002996857,0.00404863
1,0.28,0.002974811,0.002974811,0.003989459
1,0.29,0.003007357,0.003007357,0.003982065
1,0.3,0.002921082,0.002921082,0.004151448
1,0.31,0.00294499,0.00294499,0.004021339
1,0.32,0.002974591,0.002974591,0.004063276
1,0.33,0.003005364,0.003005364,0.003913031
1,0.34,0.003042698,0.003042698,0.00379258
1,0.35,0.003116048,0.003116048,0.003613129
1,0.36,0.002933042,0.002933042,0.003947934
2,0.06,0.011466152,0.011466152,-0.010376445
2,0.07,0.010272891,0.010272891,-0.023799865
2,0.08,0.009285838,0.009285838,-0.025818228
2,0.09,0.008373297,0.008373297,-0.023229267
2,0.1,0.007433691,0.007433691,-0.018881942
2,0.11,0.006713726,0.006713726,-0.014561626
2,0.12,0.006130823,0.006130823,-0.011087705
2,0.13,0.005706639,0.005706639,-0.008645608
2,0.14,0.005310791,0.005310791,-0.006071149
2,0.15,0.004853555,0.004853555,-0.003534111
2,0.16,0.004743085,0.004743085,-0.002949876
2,0.17,0.004555871,0.004555871,-0.002119396
2,0.18,0.004298036,0.004298036,-0.000460319
2,0.19,0.004237384,0.004237384,-0.00013162
2,0.2,0.004083249,0.004083249,0.000531801
2,0.21,0.003891464,0.003891464,0.001393772
2,0.22,0.004038563,0.004038563,0.000671367
2,0.23,0.00379104,0.00379104,0.001853412
2,0.24,0.003987977,0.003987977,0.001241953
2,0.25,0.003796624,0.003796624,0.001637364
2,0.26,0.003930037,0.003930037,0.001394959
2,0.27,0.003699793,0.003699793,0.002219958
2,0.28,0.003917719,0.003917719,0.001434123
2,0.29,0.00376016,0.00376016,0.002090549
2,0.3,0.003770963,0.003770963,0.001902069
2,0.31,0.003769712,0.003769712,0.002061137
2,0.32,0.003675496,0.003675496,0.002242814
2,0.33,0.003604151,0.003604151,0.002542293
2,0.34,0.003777443,0.003777443,0.002117634
2,0.35,0.003671558,0.003671558,0.002565549
2,0.36,0.003792866,0.003792866,0.002150332
3,0.06,0.013533872,0.013533872,-0.012129744
3,0.07,0.012422143,0.012422143,-0.031112632
3,0.08,0.011176874,0.011176874,-0.033946439
3,0.09,0.009962444,0.009962444,-0.030679926
3,0.1,0.008968845,0.008968845,-0.025794565
3,0.11,0.008071149,0.008071149,-0.021120741
3,0.12,0.007451102,0.007451102,-0.017910838
3,0.13,0.006905537,0.006905537,-0.014443574
