Wind,Kd,a,b,c
1,0.06,0.003292769,0.003292769,0.006294672
1,0.07,0.003312169,0.003312169,0.007398861
1,0.08,0.003320833,0.003320833,0.00776936
1,0.09,0.003335566,0.003335566,0.007881847
1,0.1,0.003372709,0.003372709,0.007314936
1,0.11,0.003453252,0.003453252,0.006493153
1,0.12,0.003437114,0.003437114,0.006546178
1,0.13,0.003444735,0.003444735,0.006522982
1,0.14,0.003507673,0.003507673,0.005448012
1,0.15,0.003520176,0.003520176,0.005515065
1,0.16,0.003593531,0.003593531,0.00485973
1,0.17,0.003613603,0.003613603,0.004467846
1,0.18,0.003642107,0.003642107,0.004222995
1,0.19,0.003743661,0.003743661,0.003583138
1,0.2,0.003607652,0.003607652,0.004045931
1,0.21,0.003773174,0.003773174,0.003220127
1,0.22,0.003665105,0.003665105,0.003563254
1,0.23,0.003753376,0.003753376,0.002785321
1,0.24,0.003604707,0.003604707,0.003518385
1,0.25,0.00375064,0.00375064,0.003159883
1,0.26,0.003705922,0.003705922,0.002910085
1,0.27,0.003868995,0.003868995,0.002433581
1,0.28,0.003708894,0.003708894,0.002445216
1,0.29,0.003675389,0.003675389,0.002555896
1,0.3,0.003751132,0.003751132,0.002444359
1,0.31,0.003702949,0.003702949,0.002595388
1,0.32,0.003621871,0.003621871,0.002969395
1,0.33,0.003812962,0.003812962,0.002032003
1,0.34,0.003742763,0.003742763,0.00198565
1,0.35,0.003771051,0.003771051,0.002336699
1,0.36,0.003711972,0.003711972,0.001968448
2,0.06,0.009028798,0.009028798,0.022614602
2,0.07,0.008910903,0.008910903,0.025368706
2,0.08,0.009153405,0.009153405,0.022608669
2,0.09,0.009121099,0.009121099,0.024649919
2,0.1,0.009316369,0.009316369,0.020129593
2,0.11,0.009293281,0.009293281,0.020248666
2,0.12,0.009206183,0.009206183,0.021325518
2,0.13,0.009411071,0.009411071,0.018686786
2,0.14,0.009596723,0.009596723,0.016172889
2,0.15,0.009409291,0.009409291,0.016739481
2,0.16,0.00939897,0.00939897,0.016590066
