b,c
0.00612417,0.024567799
0.005850266,0.020687569
0.005726418,0.01908099
0.005650208,0.017358594
0.005575604,0.014836854
0.005468993,0.013888808
0.005469109,0.014371916
0.005366097,0.012529979
0.005472599,0.012092712
0.005371236,0.010716696
0.005360576,0.01073121
0.005279364,0.010658852
0.005368492,0.009440586
0.005384485,0.009031706
0.00535685,0.009327896
0.005227686,0.009155433
0.005207952,0.009107528
0.005177652,0.009076616
0.005281326,0.010103043
0.005208505,0.007909397
0.005301537,0.00755275
0.005238737,0.007355252
0.005229122,0.0081368
0.005188327,0.007840664
0.005246382,0.007416183
0.005212507,0.006979969
0.005072555,0.007535455
0.005185062,0.007237275
0.005153336,0.008028322
0.005045837,0.007758693
0.005243614,0.007101574
0.00667772,0.017952034
0.006553427,0.014279498
0.006622075,0.011103214
0.006613678,0.009752089
0.006536411,0.008178594
0.006439483,0.008215015
0.006471992,0.008579234
0.00637928,0.007749406
0.006447718,0.008280498
0.00636081,0.006715564
0.006446652,0.00662424
0.006389696,0.006361635
0.00637664,0.005929527
0.006407957,0.005822297
0.006350592,0.006712279
0.006217877,0.006773951
0.006377428,0.005611303
0.006172408,0.006510467
0.006353873,0.007276824
0.006205108,0.00589422
0.006446975,0.004616411
0.006300555,0.004835253
0.006238616,0.00626748
0.006288336,0.005899777
0.006283398,0.005366719
0.006174775,0.005142448
0.006237789,0.005077737
0.006245907,0.005435166
0.006221856,0.005935943
0.00608467,0.005909935
0.006173029,0.006060261
0.00710372,0.015102731
0.007047781,0.010916724
0.007132212,0.00824476
0.007150006,0.006706549
0.007150501,0.004839452
0.007055336,0.005081397
0.007081102,0.006233802
0.00703359,0.004580662
0.007019467,0.006273804
0.006971496,0.005075236
0.007018544,0.004828097
0.006957926,0.005008302
0.00696214,0.004797099
0.00701509,0.00468434
0.006978388,0.004842279
0.006849458,0.005208845
0.00702309,0.004119125
0.006856322,0.005282961
0.007070056,0.005693699
0.006988742,0.003713658
0.006938596,0.004444368
0.006850992,0.00431943
0.006816259,0.00557444
0.006855725,0.004756003
0.006917579,0.004388296
0.006909089,0.003490371
0.006820999,0.004446637
0.006761457,0.005040536
0.006789359,0.005278478
0.006637682,0.005604386
0.006854068,0.004980634
0.007478343,0.014490419
0.007516792,0.009434635
0.007601087,0.006651456
0.007613655,0.006253706
0.007645965,0.004113674
0.007513257,0.004183997
0.00761481,0.005348136
0.007515506,0.004273178
0.007637752,0.00458759
0.007542907,0.003999182
0.007513696,0.004547919
0.007440629,0.004506201
0.007430096,0.0042442
0.007466627,0.004427597
0.0074978,0.004129709
0.007389977,0.004462342
0.007447534,0.004015101
0.007460831,0.003793197
0.007435664,0.006134245
0.007393086,0.004003627
0.007478978,0.003308331
0.007298485,0.003726163
0.007330895,0.004799073
0.00747824,0.003949715
0.007389395,0.004460907
0.007403415,0.003249035
0.007200389,0.00421098
0.007384829,0.004125445
0.007344741,0.004785137
0.007197339,0.004869628
0.007438727,0.004255621
0.008090902,0.010972364
0.008155884,0.006779156
0.00826676,0.004324227
0.008288283,0.003770047
0.008332529,0.002016063
0.008243297,0.002684781
0.008353268,0.002655276
0.00826601,0.00224727
0.00831001,0.00389094
0.008208463,0.002399186
0.008193517,0.003586581
0.008217447,0.002931536
0.008134584,0.003491746
0.008235879,0.003245202
0.008249339,0.003176643
0.007999892,0.004483004
0.008102707,0.00361062
0.008106361,0.003523582
0.008183091,0.005537423
0.008062168,0.002966159
0.008151016,0.002753797
0.008250394,0.002019337
0.008135222,0.003819474
0.007898711,0.004511299
0.007932284,0.004287067
0.008051329,0.003078113
0.007906742,0.003901228
0.007992926,0.004098521
0.008068961,0.004386657
0.007934663,0.004246968
0.008060463,0.003847141
0.008596112,0.008450032
0.008693274,0.004539352
0.008952729,0.000611179
0.008892965,0.00128355
0.008934808,0.000548842
0.008884223,0.000369942
0.008834436,0.003464967
0.008817521,0.001754029
0.008884594,0.002862989
0.00880562,0.002014065
0.008881941,0.002100199
0.008857302,0.001488822
0.008939035,0.000886019
0.008854795,0.002022719
0.008747814,0.003660295
0.008589968,0.003604907
0.0087411,0.002809709
0.008636911,0.003713759
0.008786904,0.004576876
0.008566114,0.003312537
0.008701266,0.002977687
0.0086987,0.002525169
0.008626702,0.004017388
