b,c
0.004124543,0.003658208
0.004025209,0.004359715
0.003932488,0.004388955
0.003841822,0.004672657
0.003768817,0.005161384
0.003785853,0.004097908
0.003749141,0.004038852
0.003741608,0.003804651
0.003717634,0.003651163
0.003720118,0.003247978
0.003649573,0.003528105
0.003673844,0.00316648
0.003612903,0.003386302
0.003575191,0.003326854
0.003649315,0.002764684
0.003537699,0.003558247
0.003502541,0.003267721
0.003657088,0.002467045
0.003596773,0.002432178
0.003616243,0.00245814
0.003539398,0.002628929
0.003591916,0.002215501
0.003538698,0.002415658
0.003550596,0.002220557
0.00359883,0.001869935
0.003549188,0.002220506
0.003509553,0.002203433
0.003579382,0.001954535
0.00352294,0.002145099
0.003500909,0.002229328
0.003627366,0.001516319
0.010858987,0.016890963
0.010256825,0.021998596
0.009494185,0.027530651
0.009212263,0.026900122
0.008987088,0.025930273
0.008619398,0.025999606
0.008465116,0.024681956
0.008352359,0.024266948
0.008187836,0.023028223
0.007909075,0.024317329
0.007719746,0.023415797
0.007813834,0.020846713
0.007616528,0.021368849
0.007554138,0.020733396
0.007441724,0.019283788
0.007386239,0.019015166
0.007377661,0.017987346
0.007250166,0.018092352
0.007438903,0.015914217
0.007282141,0.016387568
0.007250845,0.015987281
0.007291014,0.015348073
0.007089819,0.015776968
0.007297322,0.013403636
0.007091393,0.014414285
0.007173399,0.013546591
0.007071417,0.014069007
0.006853232,0.014157969
0.007017415,0.012775858
0.006778141,0.013867262
0.006672883,0.013418328
0.013339801,0.022801795
0.012512747,0.028933668
0.011826699,0.032846911
0.011269772,0.034370805
0.01066505,0.037080083
0.010725026,0.031830247
0.010373707,0.031297023
0.010224027,0.029934927
0.009918705,0.02995294
0.009773794,0.028814417
0.00940667,0.029760583
0.00937902,0.028183114
0.009232362,0.027602583
0.009105518,0.025635344
0.009178907,0.024539902
0.008968969,0.023947607
0.008783267,0.02376579
0.008785893,0.022932201
0.008819552,0.022188667
0.008658672,0.021425936
0.00866906,0.020843378
0.008667422,0.019526571
0.008375927,0.020153514
0.008853316,0.01763687
0.008242275,0.019779882
0.008645874,0.01710506
0.008373804,0.017901384
0.008286095,0.017821326
0.008572413,0.016340947
0.008296688,0.016362287
0.007895541,0.017238464
0.014996332,0.027406882
0.014039141,0.033784987
0.013146579,0.040522852
0.012758514,0.038758525
0.012170121,0.040606312
0.011830323,0.039563278
0.01155406,0.036865883
0.011368275,0.035627262
0.011158717,0.033660023
0.010977517,0.032430783
0.010618091,0.033403353
0.010490641,0.032658581
0.010342026,0.030783591
0.010223069,0.029755853
0.009928277,0.030337177
0.009865567,0.028844528
0.00976132,0.027651894
0.009663049,0.027351491
0.009700668,0.025781593
0.009574548,0.02516242
0.009551856,0.024824105
0.009847982,0.02213236
0.009652912,0.022092567
0.009555917,0.021443489
0.00927658,0.022079717
0.009535385,0.020612046
0.009384386,0.020740092
0.009167313,0.021027087
0.009392042,0.018532945
0.009323569,0.018873135
0.008974391,0.020002982
0.017322323,0.029979757
0.016079105,0.041286014
0.015032571,0.048888959
0.014376449,0.047577255
0.013779712,0.050048556
0.013655644,0.043740954
0.013038607,0.04503872
0.012719462,0.043675853
0.012559294,0.042106001
0.012372851,0.039102487
0.011886095,0.040484913
0.011845555,0.037578653
0.011724426,0.037435296
0.011449286,0.035988935
0.011354979,0.034922753
0.011055818,0.034052264
0.010973831,0.033764591
0.011005493,0.030903822
0.010884574,0.030262478
0.010746948,0.03000657
0.010940833,0.028483857
0.010975544,0.027292399
0.010733652,0.026904754
0.010753393,0.026396396
0.010422754,0.026640669
0.011095576,0.02266014
0.010441081,0.024524845
