Wind,JerlovType,a,b
1,III,1.52560861714766e-08,0.000187996960604445
1,IC,-2.42590529115602e-07,0.000197263301265435
1,3C,0.000131668993440043,0.000196041978077347
1,5C,-8.4634559961149e-05,0.000211634550018767
1,7C,-0.000215386085460805,0.000280025616852311
1,9C,-1.31546303502309e-05,0.000227587498414536
3,III,0.00621698925090431,0.00109857546888725
3,IC,0.00638534351578755,0.000919935572801029
3,3C,0.00500203635781273,0.00081236336030862
3,5C,0.00378473192569262,0.000615276346962777
3,7C,0.00214264730060287,0.000440591829115525
3,9C,0.00173136191784606,0.000437780746651028
5,III,0.0139914176302928,0.00209297185831691
5,IC,0.0136539072466044,0.00175696168638372
5,3C,0.0110122880579665,0.00150325498547913
5,5C,0.00837645430368523,0.00105882782191201
5,7C,0.00475431950722735,0.000681625722673583
5,9C,0.00365872504859301,0.000701943043774598
7,III,0.0193943105751845,0.00269716705095146
7,IC,0.0184488566039406,0.00237004729795754
7,3C,0.0154344009203794,0.0019648084537001
7,5C,0.0107780912729714,0.00152396540228182
7,7C,0.0067699868462129,0.000847123250423141
7,9C,0.00495444418414496,0.000897679096003942
9,III,0.0214213212583262,0.0029123335295821
9,IC,0.0202995626539354,0.00249990133377622
9,3C,0.0170361930233782,0.00216877194708526
9,5C,0.01205343164714,0.00160738385986347
9,7C,0.0071028456199905,0.000892753235061085
9,9C,0.00551671915890592,0.00107112836019745
