Wind,JerlovType,a,b,c,d
1,III,7.19067249675668e-07,9.18069391338844e-05,0.00133987856515536,0.0214013685118204
1,IC,-5.83152564260276e-07,0.000239870034558053,0.00182518513728027,0.0192563223880461
1,3C,-5.80741474795427e-06,0.000565414231301422,0.00150230938788702,0.0193585980877512
1,7C,-3.53895491352585e-05,0.00245850264984007,0.0042151894673887,0.0227349052311115
5,III,6.55126020470423e-07,9.06354003888974e-05,0.00182599975340961,0.0228810085178786
5,IC,-1.92206240832267e-07,0.000214470614195808,0.00266780979940943,0.0194243709974639
5,3C,-5.60966771155337e-06,0.000543392277028446,0.00226209660268217,0.0193921231318436
5,7C,-3.27144762635875e-05,0.00238270599813425,0.00498924748955254,0.0225594275090422
9,III,5.8425786761007e-07,9.12483213448546e-05,0.00252219062776073,0.0249292390282619
9,IC,8.51439221947392e-08,0.000195414713761573,0.00355779820669519,0.0203713125834536
9,3C,-4.6949324696103e-06,0.000495679883046602,0.00338766966497407,0.0195320438951945
9,7C,-2.44328592398404e-05,0.00222250978751437,0.00619822561110265,0.0221449134441286
