Wind,JerlovType,a,b,c,d
1,III,7.71295813378683e-06,-0.000236962473505535,0.00444690143908417,0.0256805021100214
1,IC,1.17519293316049e-05,-0.000198045966552779,0.0049270756782031,0.0262721034061172
1,3C,1.85217646670702e-05,-0.000116299490666734,0.00611711018372507,0.0262564457961247
1,7C,3.14948450571084e-05,0.00200460517629512,0.0111260323126336,0.0342760612566426
5,III,8.03826221512407e-06,-0.000218238521962967,0.00465007008989171,0.0282115440270153
5,IC,1.21436826662005e-05,-0.000199035755974207,0.00572187005162266,0.0272026494948896
5,3C,1.83955732098624e-05,-0.000116024957950287,0.00706431080943389,0.0267187467633115
5,7C,2.62946614681348e-05,0.00201880641191197,0.0119689593918998,0.0347974354805782
9,III,7.71744822234639e-06,-0.000202332100431554,0.00495576161641346,0.0297176194094963
9,IC,1.2208626707665e-05,-0.000199651388100926,0.00632223875749412,0.027934322001018
9,3C,1.56221609267022e-05,-7.05823696540739e-05,0.0075539743017028,0.0271095697316575
9,7C,3.59887666473078e-05,0.00183824562494396,0.013198055146159,0.0345223276364607
