Wind,JerlovType,a,b
1,III,3.06934949042563e-07,0.000214011095920999
1,IC,-3.94965281610853e-06,0.000226005206855955
1,3C,1.09523082312907e-08,0.000210007627259664
1,5C,2.54589748989146e-07,0.000222264382064978
1,7C,0.000160908569137386,0.000290060264779309
1,9C,2.41989085560361e-05,0.000237452445455621
3,III,0.0106701847494864,0.00169536886583515
3,IC,0.00970720668586149,0.00149781619870718
3,3C,0.0078138084658546,0.00131294119653417
3,5C,0.00580887450291713,0.000944029695334601
3,7C,0.00357741206363171,0.000580528249922897
3,9C,0.00275844409600882,0.000652901719626679
5,III,0.018395123478608,0.00271651348339703
5,IC,0.0173164303651453,0.00241355638748317
5,3C,0.0138380910272326,0.00208181359108213
5,5C,0.0106345333885442,0.00151860940354297
5,7C,0.00637921772608594,0.000875420307418227
5,9C,0.00476806712278799,0.000997478876519512
7,III,0.021997144443213,0.00315069419230106
7,IC,0.0211030821663632,0.00281011672630369
7,3C,0.0169523052434736,0.00249025221664465
7,5C,0.0128045965392394,0.00179030195979193
7,7C,0.00798388733680564,0.00105800375979451
7,9C,0.00577617630102674,0.00120118083457484
9,III,0.0232635892322181,0.00326334705548466
9,IC,0.0222048822417487,0.00292178406623029
9,3C,0.0177808100623011,0.00260588749518272
9,5C,0.0137277045595534,0.00189909478138433
9,7C,0.00825350888121122,0.00110403624386004
9,9C,0.00619692000985115,0.00125752781965489
