Wind,JerlovType,a,b
1,III,-6.89166541382032e-07,0.000203577758658157
1,IC,1.01300994295471e-08,0.000208762566507087
1,3C,0.000327208196936947,0.000214986034886962
1,5C,0.000325724548221392,0.000242030827566087
1,7C,1.13203233908729e-07,0.000312954472232389
1,9C,0.000192246696788407,0.000292971365606109
3,III,0.0063230106890072,0.000928870169410187
3,IC,0.00569624677300064,0.000819013147817436
3,3C,0.00434602194340521,0.00070848077106311
3,5C,0.00342844664979355,0.000504051291772063
3,7C,0.00179990208007429,0.00041563581653935
3,9C,0.00143589452645479,0.000416043554426624
5,III,0.0129474273063496,0.00187556669525451
5,IC,0.01267321342816,0.00161528653834634
5,3C,0.0103757905338108,0.00136263949578229
5,5C,0.00751322511860014,0.000941243513806572
5,7C,0.004517386733088,0.000598325014288466
5,9C,0.00332637058243607,0.000638793009397263
7,III,0.0195041133371751,0.00247813480571004
7,IC,0.0184333645298574,0.00214873704700614
7,3C,0.0148228686292626,0.00184328235133471
7,5C,0.0108228287630357,0.00128634962774021
7,7C,0.00613473366667041,0.000742556411461876
7,9C,0.00441860066793283,0.00100633665220957
9,III,0.0214236571317492,0.00262035505471027
9,IC,0.019626934193509,0.00229452778996379
9,3C,0.0163328422323693,0.0019949666788013
9,5C,0.0111706874396851,0.00144100115715457
9,7C,0.00694327712193137,0.000756376186800659
9,9C,0.00482506302805417,0.00105551100694081
