Wind,JerlovType,a,b
1,III,0.000373182961055889,0.000149160790644998
1,IC,0.00021461494517892,0.000167394238553914
1,3C,-3.11004903441331e-05,0.000177270338964434
1,7C,0.000180185094908386,0.000299678313194081
5,III,0.0155401547298716,0.00139741863517217
5,IC,0.0130173929480184,0.00117483613695169
5,3C,0.0103049357178316,0.00101513117564194
5,7C,0.00391908844352823,0.000530013148047582
9,III,0.0255375311744439,0.00215658899395222
9,IC,0.0207654667867057,0.00183418693338035
9,3C,0.0166845811566551,0.00157882359636123
9,7C,0.00658967331988351,0.000683458658734138
