Wind,JerlovType,a,b,c,d
1,III,7.18230027121159e-06,-0.000175826354784704,0.00316209975620951,0.0251211533406713
1,IC,1.10044225467088e-05,-0.000100687140659228,0.0036847162231902,0.025075196333086
1,3C,1.21092175658235e-05,0.000138172005237297,0.00465538625881207,0.0242915738579126
1,5C,5.28412050427573e-06,0.000960433785068351,0.00605918969719998,0.0245804903121926
1,7C,-5.85629137061274e-05,0.00338766376534415,0.0065546166869912,0.0300532356996601
1,9C,3.40778162054918e-05,0.00393530765834502,0.00981931062308141,0.0309245925250114
3,III,7.9517910710183e-06,-0.000192184547321383,0.00311495589060588,0.0258407821486063
3,IC,1.10630409462713e-05,-0.00010306611525006,0.00365277884108361,0.025599550266115
3,3C,1.3802517197548e-05,9.27105258577156e-05,0.00502067016508881,0.0240141891552816
3,5C,1.31959685123853e-05,0.000826739326276811,0.00674808753618541,0.0241416049490105
3,7C,-7.13338329388278e-05,0.003537069482737,0.00617215197305242,0.0304854771608234
3,9C,0.000187431104662723,0.00288255318345403,0.0119508647965989,0.0299423203730222
5,III,5.09860296544695e-06,-6.83099614895378e-05,0.00227902662759367,0.0295263594211863
5,IC,7.61465848675521e-06,1.23419858459357e-05,0.00335522602548956,0.0280728799782095
5,3C,1.31822220208529e-05,0.000101877828536426,0.00568163473293456,0.0247838907413331
5,5C,-3.07559143273459e-06,0.00103674945503409,0.00679648801570731,0.0247167676303175
5,7C,-4.19191076127931e-05,0.00313889124819547,0.00811746962186818,0.0296446170250682
5,9C,0.000141783694816386,0.0030732000253487,0.0123998369199775,0.0301070831314547
7,III,5.16620397282195e-06,-5.03318953820263e-05,0.00268316181046162,0.0316690637594324
7,IC,1.09411456762985e-05,-8.07753509868368e-05,0.00481773272342105,0.0281467205804768
7,3C,8.45265569521855e-06,0.000185082628951654,0.0063424072569199,0.0255336978579046
7,5C,-7.64003352543484e-06,0.0010735995218565,0.00760971813400162,0.0252738206483459
7,7C,-2.46459207517487e-05,0.00286266760879361,0.0099252019275708,0.028890380058663
7,9C,-6.52628170224869e-06,0.0042716683292994,0.0103426539611566,0.0321844247361825
9,III,6.67599471575601e-06,-9.77181134859108e-05,0.00336755919379222,0.0311916462048666
9,IC,1.29005899677391e-05,-0.000130879602216196,0.00559447619813141,0.0274217536911396
9,3C,8.60854455553019e-06,0.000167873469433402,0.00669999454949107,0.0257471965373295
9,5C,5.39279440331271e-07,0.000996432572513712,0.00781287604874824,0.0255762986676947
9,7C,-6.25311348327654e-05,0.00330970990488375,0.00862739902258552,0.0303314266435504
9,9C,8.99304359182677e-05,0.00327829745346586,0.0134287486807044,0.0299930419876014
