Wind,JerlovType,a,b
1,III,-4.5828142831211e-08,0.000177964509400677
1,IC,-0.000288970815076066,0.000180629517529586
1,3C,8.62226684802668e-05,0.000173821167672179
1,7C,0.000131479348981211,0.000204418910827396
3,III,0.00831345480798936,0.0022164160168557
3,IC,0.00773483785486706,0.00212280836459545
3,3C,0.00653459164216401,0.00189992004317467
3,7C,0.00381692226479981,0.00111829341790585
5,III,0.0127505711180875,0.00356733324905871
5,IC,0.0130391488596039,0.00326509987671539
5,3C,0.0110584844442486,0.00307748924823133
5,7C,0.00646526259186349,0.00153903186273815
7,III,0.0175972104067258,0.00421801637247031
7,IC,0.018334387534581,0.00376625977028808
7,3C,0.0158888182206844,0.00360210318906853
7,7C,0.00768806486566972,0.00201995262151115
9,III,0.019121238724893,0.00445712398703775
9,IC,0.0184084752485054,0.00431189629128855
9,3C,0.0156212592982704,0.003948256446222
9,7C,0.00931424293677069,0.0019238334619087
