Wind,JerlovType,a,b
1,III,-1.2924090898096e-07,0.00018574424517465
1,IC,0.000115418181553579,0.000183818214727351
1,3C,0.00010671966309685,0.000179549441400367
1,7C,0.000146890039784705,0.000218528886126254
3,III,0.00739387702942396,0.0019236883565033
3,IC,0.00669156179190878,0.00185264999220148
3,3C,0.00569691324864162,0.00164515542067129
3,7C,0.00336976606605595,0.000945766382326354
5,III,0.011458273851853,0.00325203114486553
5,IC,0.0121131783035378,0.002941919089056
5,3C,0.0100760451356757,0.00280205763052736
5,7C,0.00585512656483525,0.00139842426003059
7,III,0.0163411274969561,0.00387698703365762
7,IC,0.0170368780026546,0.00347497455933622
7,3C,0.0144346458112899,0.00333934212197589
7,7C,0.00728596123725686,0.00179133980275502
9,III,0.0179937404153647,0.00411860720585214
9,IC,0.0173311249093517,0.0039719583633348
9,3C,0.0149209673339429,0.00363006931211742
9,7C,0.00853763645811324,0.00176774207332823
