b,c
0.004169714,0.00247174
0.004127855,0.002146326
0.004113562,0.001700375
0.004063562,0.001968147
0.004038181,0.00193434
0.004079348,0.001239022
0.003946266,0.002113289
0.003951949,0.001783443
0.003922411,0.001756658
0.00389249,0.002023594
0.00388659,0.001639612
0.003870199,0.001705506
0.003846254,0.002012239
0.003817774,0.00171761
0.003863988,0.001613593
0.003858649,0.001290388
0.003827309,0.001526401
0.003852371,0.001517
0.003907288,0.001097157
0.003809739,0.001261881
0.003855668,0.00133598
0.003860921,0.001062686
0.003829305,0.000999527
0.003913043,0.000849149
0.003813074,0.001188553
0.003926064,0.000731092
0.003642595,0.001750667
0.003826019,0.000944639
0.003809007,0.001027597
0.003909738,0.000689292
0.003738585,0.001223977
0.011465905,0.006499895
0.011030459,0.00885302
0.010739481,0.010015267
0.010610269,0.008942582
0.010341561,0.009840591
0.010308207,0.008938599
0.01014551,0.009063924
0.009805103,0.010663786
0.009670922,0.010536491
0.009598083,0.010144809
0.009695171,0.009087227
0.009492082,0.009235485
0.009506021,0.008550575
0.009535401,0.007481604
0.009428355,0.008155739
0.009418413,0.00752287
0.009504198,0.006984115
0.009435577,0.007062396
0.009394228,0.006981121
0.009111243,0.007346496
0.008971518,0.007559303
0.009160925,0.006812151
0.008886999,0.007335098
0.009453479,0.004914939
0.008968009,0.006819027
0.008928842,0.006825871
0.008822523,0.00674403
0.00914922,0.0052649
0.009013484,0.005751563
0.009200367,0.004832271
0.008883032,0.005901877
0.014078398,0.008205922
0.013729927,0.009816078
0.013405361,0.01080237
0.012921727,0.013064044
0.012822701,0.012168078
0.012613357,0.01207878
0.012506895,0.011352817
0.011974915,0.014415931
0.012133802,0.011781613
0.011932427,0.012339351
0.011830855,0.011600269
0.011598095,0.01161665
0.011626739,0.011465873
0.011618139,0.010389779
0.011290551,0.011142954
0.011222809,0.010978113
0.011528366,0.009307134
0.011636849,0.008133545
0.011710505,0.007604653
0.01103135,0.009917056
0.010824838,0.010372105
0.011315182,0.008235421
0.011035842,0.008968661
0.011405589,0.007573875
0.011096473,0.007820987
0.010992254,0.008038923
0.010903054,0.007524507
0.011300811,0.006708893
0.011044023,0.0075084
0.011094058,0.006487257
0.011091798,0.006514784
0.015906804,0.010960943
0.01539896,0.013272238
0.015035101,0.013905553
0.014600561,0.015116496
0.014300772,0.015112703
0.013994141,0.015793231
0.014001535,0.014537416
0.01361173,0.014824239
0.013643027,0.013683675
0.013229081,0.015520268
0.013355816,0.01318249
0.013070009,0.013587775
0.013246063,0.012143346
0.012862284,0.01266687
0.012706446,0.012941531
0.012764351,0.011602353
0.01295905,0.010632532
0.012657757,0.011558793
0.012831902,0.010255711
0.01229009,0.011487618
0.012456862,0.010919824
0.012843682,0.009703564
0.012172011,0.010566651
0.01263617,0.009088646
0.012642733,0.009080744
0.012198468,0.009973402
0.012135552,0.009896269
0.012724818,0.007516018
0.012481634,0.008072605
0.012016032,0.009187873
0.012144838,0.008776164
0.018161763,0.014325427
0.017687561,0.014717936
0.017274283,0.016608914
0.016861898,0.017084636
0.016448676,0.017705432
0.016171154,0.017397764
0.015994857,0.016908472
0.015467349,0.019521347
0.015734009,0.014994923
0.015170448,0.016963371
0.015309432,0.014697224
0.014845332,0.016261692
0.015086494,0.014483216
0.015425794,0.012176057
0.014712469,0.013993589
0.014487446,0.01415046
0.014593324,0.013485552
0.014269275,0.014440911
0.01493104,0.010294
0.013953729,0.015329446
0.014074564,0.013757569
0.014191354,0.011997546
0.013968515,0.013669919
0.014496639,0.009912149
0.014428005,0.010910676
0.014262156,0.01090411
0.013809651,0.011619747
0.014367356,0.009727054
