b,c
0.006564449,0.015135953
0.006256464,0.013568964
0.006128936,0.012554916
0.006156971,0.010552897
0.005963105,0.009617327
0.005828684,0.009206777
0.00582501,0.009459855
0.005842864,0.007285298
0.00589801,0.007256443
0.005663712,0.007075639
0.005689991,0.006772131
0.005558003,0.007167563
0.005648718,0.006022732
0.005705152,0.005564879
0.005687637,0.005658676
0.005497788,0.00572895
0.005812773,0.003948488
0.005414885,0.005627524
0.005701165,0.005481134
0.005777217,0.0035147
0.005619873,0.00392856
0.005398868,0.004474051
0.005575754,0.004343047
0.00572681,0.003679241
0.005453994,0.004102113
0.005623125,0.002946259
0.005295023,0.004204169
0.005611979,0.003405781
0.005441422,0.004088556
0.005475928,0.003273432
0.005470786,0.003716479
0.006984734,0.011890516
0.006727114,0.010805167
0.00671558,0.009653807
0.00680661,0.006784594
0.006634001,0.006803957
0.006555233,0.006008818
0.006626247,0.006135165
0.006656368,0.004077184
0.006650669,0.005036486
0.00651806,0.004262543
0.006619509,0.003914262
0.006360235,0.00495486
0.006553375,0.003353208
0.006605794,0.003224304
0.006588337,0.003616689
0.006421529,0.003522814
0.006617811,0.002674613
0.006331838,0.003731539
0.006597372,0.003827119
0.006714841,0.001284941
0.006643458,0.001610551
0.006460659,0.002407597
0.00649625,0.002657762
0.006592087,0.002163821
0.006270481,0.002987212
0.006584279,0.001501974
0.006378378,0.002144348
0.006300549,0.002391426
0.006594209,0.002267016
0.006464602,0.001875101
0.00641803,0.002331493
0.007254266,0.011511008
0.007097439,0.009379104
0.007169743,0.007414994
0.007190919,0.005694267
0.007043847,0.005687654
0.007045511,0.00443071
0.007154547,0.004476054
0.007164837,0.002686185
0.007239644,0.003737791
0.00713964,0.002520227
0.007117072,0.003070183
0.006872937,0.004158966
0.00714225,0.00203688
0.007117056,0.002514046
0.007054772,0.002875549
0.006908606,0.002778099
0.007101865,0.001812629
0.006942181,0.002722075
0.007326617,0.002439889
0.007329746,0.000627363
0.007228207,0.000829267
0.007046081,0.001472516
0.007146573,0.001712909
0.007102765,0.001676132
0.006985476,0.001896257
0.006957733,0.001277505
0.006837975,0.001630948
0.007015966,0.001611486
0.007153452,0.001471623
0.007121965,0.000934153
0.00701503,0.001630387
0.007658775,0.010703939
0.007468254,0.009188821
0.007580532,0.006968431
0.007612773,0.005224838
0.007513834,0.004916783
0.007504561,0.003517083
0.007581361,0.004326417
0.007556561,0.002404636
0.007555824,0.004216672
0.007476989,0.002753893
0.007592576,0.002270699
0.007517522,0.002674718
0.007652928,0.001551943
0.007640273,0.00189488
0.007556373,0.002426176
0.007476537,0.002236945
0.00772948,0.00071237
0.007431801,0.002012497
0.007745759,0.002430149
0.00784666,-0.000281755
0.007754072,0.000627728
0.0076173,0.00081599
0.007546909,0.001878194
0.007704934,0.000943093
0.007238968,0.002344157
0.007620399,0.000173206
0.007588695,0.000651849
0.007618956,0.000834344
0.007663704,0.001348639
0.007491626,0.000866361
0.007600388,0.001256599
0.008116111,0.010569133
0.008026044,0.007451233
0.008094829,0.006226598
0.008238222,0.003964156
0.008180132,0.002924474
0.008065379,0.002979867
0.008263305,0.003240911
0.008419682,8.12E-05
0.008455902,0.001522848
0.008091686,0.001839915
0.008308122,0.000836423
0.008001236,0.002921855
0.008238733,0.001326488
0.008521934,0.000249707
0.00821465,0.002022771
0.008214742,0.001311661
0.00828311,0.000793027
0.007859729,0.002552887
0.008320048,0.002278996
0.008670183,-0.00085108
0.008475356,-0.000195625
0.008178969,0.000529676
0.008482759,0.000608669
0.008280412,0.000777545
0.008171858,0.001266134
0.008558363,-0.000948765
0.008218705,0.000426739
0.008323726,0.00047875
0.008320419,0.000916047
0.008250156,0.000735212
0.008308178,0.000972681
0.008558943,0.009224966
0.008484517,0.00622619
0.008520933,0.005773717
0.00878638,0.00259079
0.008670277,0.002128429
0.008603624,0.001803909
0.008789726,0.001976038
0.008934628,-0.000800387
0.00889411,0.001780603
0.008647629,0.001444842
0.008869907,0.000462826
0.00871244,0.001494907
0.008906967,-5.75E-05
0.008936718,0.000324118
0.008987971,0.000592867
0.008738979,0.000795628
0.008994302,-0.000462112
0.008591002,0.001703318
0.008901434,0.002068452
0.00938418,-0.002092942
0.009238735,-0.001450204
0.008635707,0.000336343
0.008898448,0.000346432
0.008946698,-5.70E-06
0.008502572,0.001480343
0.009037066,-0.001100175
0.008675946,0.000232041
0.008630916,0.000680519
0.009119327,0.000130024
0.00910846,-0.000856538
0.008831006,0.000714154
0.008744151,0.008948699
0.008777459,0.005244753
0.009010478,0.002616667
0.009087454,0.001806371
0.00898882,0.001544228
0.008979168,0.000989096
0.009126764,0.001711395
0.009365713,-0.001941837
0.009446589,-0.000344368
0.009226845,-0.00057353
0.009277882,-0.000194186
0.009019084,0.001523259
0.009427153,-0.001298016
0.009262714,-0.000158124
0.009264525,0.000309022
0.009100006,0.000911942
0.009426558,-0.001281158
0.008960789,0.000749486
0.009424979,0.001033087
0.009873751,-0.002962367
0.009601571,-0.001616185
0.009151251,-0.000287349
0.0095758,-0.000505796
0.009464601,-0.000545266
0.009102303,0.000445059
0.009287061,-0.000894072
0.009231703,-0.000486902
0.009359033,-0.000555369
0.009446922,-0.00039479
0.009325694,-0.000327408
0.009318691,0.000443761
0.008863258,0.008742289
0.008745396,0.006742932
0.009137934,0.003036531
0.009288335,0.001513921
0.00926351,0.000384521
0.0091313,0.000903622
0.009269078,0.000844185
0.009513527,-0.002285891
0.009466742,0.000663817
0.009252527,-0.000203106
0.009577853,-0.001399828
0.009400015,-0.000159918
0.009561965,-0.001082323
0.009640972,-0.001270702
0.009554252,-0.000430383
0.009339898,-0.000269074
0.009605914,-0.001047145
0.009201791,0.000647755
0.009572218,0.001264997
0.009946714,-0.002579115
0.009650368,-0.001725882
0.009215717,-8.46E-05
0.009686685,-0.000486342
0.009781079,-0.001456325
0.009350442,0.000140255
0.009685169,-0.00192473
0.009476647,-0.001042445
0.009597625,-0.001260881
0.009691475,-0.000384866
0.009373741,-0.000173041
0.009520499,-0.000417454
0.008929371,0.008196778
0.008922319,0.005246724
0.009076833,0.003350764
0.009376393,0.000638989
0.009225654,0.000976757
0.009236187,0.000151555
0.009467182,0.000265229
0.009563296,-0.002028698
0.009556062,-0.000219303
0.009384106,-0.000519499
0.009466234,-0.000431505
0.009336815,0.000843496
0.00940441,-0.000572502
0.009556982,-0.000463156
0.009573917,-0.000285341
0.009459396,-0.000507869
0.009733448,-0.001913354
0.00940211,-0.000159901
0.009588139,0.001169613
0.009964775,-0.002573612
0.009754318,-0.001563205
0.009426989,-0.00099889
0.009533733,6.59E-06
0.009731099,-0.000783172
0.009222874,0.000361825
0.009543193,-0.001224442
0.009422294,-0.000465571
0.009336748,5.74E-05
0.009507676,0.000205913
0.009666031,-0.000643412
0.009398848,0.000307255
0.008945021,0.008512237
0.008864155,0.006668763
0.009151016,0.00317245
0.009385334,0.001134757
0.009344289,0.000408027
0.00931558,4.14E-05
0.009384846,0.001051973
0.009552378,-0.001631666
0.009668761,-2.08E-05
0.009584108,-0.001767304
0.009539749,-0.000928159
0.009136308,0.001397442
0.009516728,-0.000866553
0.009699669,-0.001224654
0.009698748,-0.000678881
0.009375314,-7.19E-05
0.00967695,-0.001385484
0.009366695,-3.16E-05
0.009660338,0.000833972
0.010012918,-0.002764003
0.009733556,-0.001689031
0.009648881,-0.001030189
0.009339934,0.000581106
0.00976326,-0.00071845
0.009271883,0.000466201
