b,c
0.006599823,0.014503563
0.006262415,0.013793371
0.00610069,0.013241847
0.006193791,0.00992548
0.005921512,0.01015435
0.005825602,0.00907209
0.005768638,0.009649672
0.005877506,0.006669408
0.005804379,0.008007604
0.005728592,0.006529288
0.005734836,0.006498681
0.005509092,0.007460606
0.005715426,0.005430356
0.005744718,0.005472175
0.005663073,0.005765807
0.005425529,0.006039694
0.005802259,0.003799452
0.005435384,0.005470462
0.005698653,0.005577927
0.005893227,0.002797643
0.005633091,0.003770403
0.005516363,0.003930608
0.005557355,0.004170109
0.005356363,0.004016984
0.005417112,0.004204222
0.005632375,0.00288307
0.005420647,0.003514823
0.005566014,0.003251348
0.00570388,0.002996184
0.005485498,0.003203829
0.005356433,0.003616969
0.006997697,0.011870835
0.00670757,0.010753194
0.006700523,0.009302515
0.006772392,0.006972127
0.00663337,0.006654806
0.006516821,0.006502572
0.006643721,0.005958267
0.006739688,0.003381016
0.006740032,0.004536689
0.006558156,0.003854231
0.006517177,0.004223939
0.0063418,0.005186581
0.006585418,0.002916289
0.006613107,0.003179364
0.006526896,0.003764602
0.006514477,0.003006129
0.006659535,0.002179035
0.006230076,0.004218303
0.006688728,0.003380454
0.006819019,0.001131652
0.00674582,0.001199228
0.006493909,0.002052024
0.006580928,0.002489693
0.006533059,0.002093666
0.006399162,0.002621646
0.006541492,0.001273542
0.006477797,0.001742337
0.006289558,0.002470585
0.006624136,0.001982135
0.006463298,0.001804828
0.006370041,0.002469398
0.007264477,0.01122044
0.007025507,0.010105548
0.007100209,0.008204748
0.007226292,0.005586745
0.007165782,0.004565758
0.007044632,0.003974742
0.007056952,0.005169728
0.007213559,0.002072403
0.007242929,0.003248783
0.006956704,0.003297103
0.007087106,0.002804493
0.006816242,0.004478923
0.007132364,0.002078647
0.007124257,0.002406036
0.007101921,0.002828504
0.006944552,0.002538483
0.007169133,0.001700461
0.006950144,0.002476303
0.007170483,0.003005816
0.007495971,-0.000265526
0.007291896,0.000707385
0.007069901,0.001141946
0.007154627,0.001324944
0.007248521,0.000989715
0.006871472,0.002196261
0.007183171,0.000462541
0.006854124,0.001534014
0.007178449,0.000921324
0.007138066,0.001493113
0.007134818,0.001139508
0.00701291,0.001549888
0.007590537,0.011697553
0.007455877,0.00894285
0.007528993,0.007401468
0.007655727,0.004864868
0.00753748,0.004464307
0.007453442,0.004246554
0.007604282,0.003934646
0.00755283,0.002522575
0.007732532,0.00271021
0.007505862,0.002356891
0.007573149,0.002178591
0.007458814,0.002909896
0.007603162,0.001317543
0.007660922,0.001612602
0.007636593,0.001892462
0.007567061,0.001512848
0.007746251,0.000683852
0.007283542,0.002732077
0.007629371,0.002897038
0.007797057,-5.43E-05
0.007729877,0.00035663
0.00737493,0.001446205
0.007755696,0.000762267
0.007623217,0.001040011
0.007465524,0.001558473
0.007607314,-5.04E-05
0.007476547,0.000819155
0.007564517,0.000800566
0.007795259,0.00078541
0.007493213,0.000974593
0.007535282,0.00117846
0.008118493,0.009810515
0.008024555,0.008245498
0.00800451,0.007439349
0.0082051,0.003402059
0.008144204,0.003421732
0.008150357,0.002561489
0.008235865,0.003030374
0.008412228,0.000526954
0.00834997,0.00235561
0.008115879,0.001907529
0.008239403,0.001567912
0.008017461,0.002783199
0.008286816,0.000816532
0.008281871,0.001157492
0.00831306,0.001515917
0.008162844,0.001276277
0.008597806,-0.000694133
0.0079846,0.00193156
0.008230292,0.002493818
0.008560949,-0.000952098
0.008416647,-0.000209317
0.0083521,0.000163669
0.008403125,0.00081512
0.008216813,0.000671464
0.007945591,0.001724662
0.008352147,-0.000920239
0.008296924,1.75E-05
0.008359495,0.000214459
0.008355963,0.000352976
0.008279206,0.000411189
0.008115475,0.000946801
0.008496508,0.009546918
