b,c
0.004173342,0.002245126
0.004179459,0.001737073
0.004103166,0.002077674
0.004092104,0.001638228
0.004013473,0.002187441
0.004051859,0.001494694
0.004010845,0.001732419
0.003997828,0.001538282
0.003951336,0.001781746
0.003958918,0.00159146
0.003833389,0.002096733
0.003872623,0.001535493
0.003918748,0.001454085
0.003905288,0.001354755
0.003887777,0.00143868
0.003891383,0.001291109
0.003962066,0.001062992
0.003856259,0.001343689
0.003801428,0.0014359
0.003850784,0.001190114
0.003834979,0.001267334
0.003915032,0.000730264
0.003800167,0.001209411
0.003897615,0.000919086
0.003817599,0.001178491
0.003765646,0.001174271
0.003760987,0.0011826
0.003743847,0.001307448
0.003901518,0.000678503
0.003783243,0.001063959
0.003856464,0.000855975
0.011361261,0.006866775
0.011115634,0.007311205
0.010828661,0.008403537
0.010738525,0.008619023
0.010239331,0.011245224
0.010102887,0.010443928
0.010103294,0.009768179
0.009931943,0.010018218
0.009994506,0.008226267
0.009742563,0.009170854
0.00979999,0.007901421
0.009713769,0.007961699
0.00964133,0.007487382
0.009438483,0.008670146
0.00922376,0.008524022
0.009369917,0.007398415
0.009435767,0.007224816
0.009104822,0.008248331
0.009323827,0.007235613
0.009169201,0.007189268
0.008962239,0.007887589
0.009372595,0.005818164
0.009112114,0.006691542
0.009221158,0.005898233
0.009086665,0.006625029
0.008925968,0.006711715
0.008826937,0.006887086
0.009042521,0.005148217
0.008849625,0.005978908
0.009166019,0.004965549
0.008786459,0.005782492
0.014112779,0.009252536
0.013613283,0.010692931
0.013374702,0.011583801
0.012963717,0.012648565
0.012617279,0.014289704
0.012656582,0.011844352
0.012311811,0.012567815
0.01207561,0.013289312
0.012003462,0.012419781
0.011929271,0.011918865
0.011971455,0.010927369
0.011761469,0.010458614
0.011680085,0.011141407
0.01162642,0.010428844
0.011421516,0.010725001
0.011353453,0.010684958
0.011475738,0.009402041
0.011418444,0.009664028
0.011270595,0.008597471
0.011010545,0.009529542
0.010879868,0.01033966
0.011120264,0.008995116
0.011088154,0.008208105
0.011198724,0.00804964
0.011218078,0.008190552
0.010998572,0.008362266
0.010566085,0.009646617
0.011083274,0.007583662
0.011036692,0.007355645
0.010776411,0.008215988
0.010738131,0.007699027
0.016033671,0.008281109
0.015277743,0.015062576
0.01497092,0.014254671
0.01464213,0.015052233
0.014487845,0.013570606
0.014217141,0.014479311
0.013972098,0.014078861
0.013336905,0.016955112
0.013535126,0.013699813
0.01343645,0.013973752
0.013180413,0.01374925
0.013210432,0.012236937
0.0131421,0.012320626
0.013074564,0.012084245
0.012515151,0.013397677
0.012948991,0.011251802
0.012846292,0.01085375
0.012702996,0.011513548
0.012934486,0.009982925
0.012611113,0.010623795
0.012027343,0.012422718
0.012526646,0.010316762
0.012200555,0.009987056
0.013113028,0.007516415
0.012408888,0.009472987
0.012453085,0.00912095
0.011901726,0.010504457
0.012394577,0.008382296
0.011808127,0.010440365
0.012363441,0.008534457
0.012099112,0.008701264
0.018320834,0.012385944
0.017687483,0.014104172
0.017261181,0.015231746
0.017001065,0.015007278
0.016340284,0.018217196
0.016238958,0.017251552
0.015906754,0.017456571
0.015543487,0.018551163
0.015417898,0.017098771
0.015666777,0.014302498
0.015363276,0.014962929
0.015251274,0.014469527
0.01480402,0.016003746
0.014857,0.013985478
0.014606866,0.014280022
0.01454565,0.014378242
0.01485751,0.012904791
0.014628072,0.013638064
0.014823802,0.011051669
0.013918523,0.014344156
0.013740151,0.014756919
0.013881906,0.013366323
0.013772695,0.013967099
0.014778078,0.009477575
0.014387152,0.01076297
0.014138712,0.010968328
0.013701092,0.012299236
0.013948337,0.011213008
0.014322645,0.008888012
0.014176201,0.009921687
0.01364325,0.010567176
0.02073809,0.007615039
0.019500313,0.019100852
0.018966654,0.019345781
0.018553701,0.020401057
0.018131788,0.022019211
0.01781833,0.021889959
0.017927261,0.0175712
0.017275102,0.020278758
0.017175317,0.01929336
0.016641186,0.02049254
0.016289653,0.021568376
0.016513575,0.018045296
0.016374182,0.018216372
0.016330589,0.017754417
0.016144432,0.017444157
0.015996845,0.01610997
0.0158009,0.017545557
0.015347432,0.018784436
0.016233097,0.01296598
0.015588881,0.015801715
0.015083217,0.016692014
0.015821948,0.014372405
0.015383731,0.014065012
0.015823621,0.012311425
0.015674773,0.012895692
0.015069963,0.013801477
0.015411347,0.012522685
0.015975179,0.01040439
0.015066402,0.012511472
0.015734231,0.010750087
0.014988511,0.012519502
0.02148751,0.017818068
0.020707624,0.021262476
0.020282328,0.020954535
0.01960346,0.023418788
0.019350298,0.021805256
0.018901827,0.022647407
0.018403922,0.024450447
0.018184588,0.023115661
0.017803582,0.022856309
0.018251467,0.018253933
0.017516444,0.021499496
0.017513878,0.01985601
0.017652419,0.017638597
0.0177308,0.016464818
0.016715045,0.020205517
0.016910902,0.01796614
