Wind,Kd,a,b,c
1,0.06,-8.10899613146884e-06,0.00490265333483866,0.000134280254228318
1,0.07,-1.40316874279086e-05,0.0049790070108036,-0.00081240800861852
1,0.08,-1.96901766849151e-05,0.00500822416556867,-0.000784880752054505
1,0.09,-2.90243422644137e-05,0.00517194295556752,-0.00174118631756457
1,0.1,-3.12627894083669e-05,0.00504047866008128,-0.000422244606361233
1,0.11,-3.8086235369796e-05,0.00510738314173291,-0.000718889098324669
1,0.12,-4.4449417249887e-05,0.00514928339582249,-0.00121478451260972
1,0.13,-5.06028045893734e-05,0.00519269892028043,-0.000899434792882637
1,0.14,-4.81150278696826e-05,0.00494403928165401,-0.00010864101962058
1,0.15,-5.99557575681199e-05,0.00512988787114133,-0.000526582730167114
1,0.16,-6.42439510009488e-05,0.0050734086219225,-0.000179975279958339
1,0.17,-7.31191670870732e-05,0.00519014006209711,-0.000878181349541793
1,0.18,-6.85512620395861e-05,0.00499342115329431,-3.11991569271475e-05
1,0.19,-6.94256280146971e-05,0.00489828208368509,0.000172788643073203
1,0.2,-8.63410801388759e-05,0.00513102590403396,-0.000508368045563294
1,0.21,-9.35966274422318e-05,0.00516098399186896,-0.00072840030387415
1,0.22,-9.17293327433796e-05,0.00504707030131279,-0.000374921772111676
1,0.23,-8.38427081632589e-05,0.00484355152490199,0.000263155999149978
1,0.24,-0.000101224414971334,0.00495746337824779,-0.000215506084765673
1,0.25,-0.000108747819015188,0.00506384448483083,1.83760238174666e-05
1,0.26,-9.3794596727649e-05,0.00473141791585673,0.000558163529588209
1,0.27,-9.78128077819091e-05,0.00480672782792564,0.000401529436671426
1,0.28,-0.000134338062741887,0.00512715821433426,-0.000349284173997987
1,0.29,-0.000130400893637809,0.0049641087273367,0.000183281168231661
1,0.3,-0.000112715426694148,0.00483312290092846,0.000146439596058645
1,0.31,-0.000122437941572441,0.00491986241320193,2.21367935848262e-05
1,0.32,-0.000109521605737495,0.00462285184193127,0.000686097765971303
1,0.33,-0.000154679806146859,0.00514987476554866,-0.00034727213324148
1,0.34,-0.000139979565945165,0.00481425932410441,0.0002912032318229
1,0.35,-0.000153987707257467,0.0050377958297173,-0.00027569407724051
