Wind,Kd,a,b,c
1,0.06,-8.54155304024407e-06,0.00388962532276257,0.00831572665279146
1,0.07,-5.93806010491532e-06,0.00360499407992029,0.00831746610438066
1,0.08,-1.15167136080466e-05,0.00363476584631164,0.00752980952069493
1,0.09,-9.75569389420976e-06,0.00345955723296465,0.00760032482439501
1,0.1,-5.00500580751773e-06,0.00326834092722543,0.00786464602068141
1,0.11,-6.29681439204421e-06,0.00322450038731578,0.00779105454512593
1,0.12,-1.46339326544851e-06,0.00307725187435311,0.00801377597690491
1,0.13,-2.13043463028495e-06,0.00310296843791817,0.00770740005047941
1,0.14,6.18020016980414e-06,0.00292892241775012,0.00794372758080897
1,0.15,9.15078336563662e-06,0.00283746026232789,0.00803634912012735
1,0.16,7.98517826196234e-06,0.0028305695877649,0.00803233337457393
1,0.17,-3.18579939911119e-06,0.00298030135461127,0.00742322557727561
1,0.18,9.95982814492019e-06,0.00273447589106584,0.00799618939865476
1,0.19,1.82583559789633e-05,0.00265552551519751,0.00820054768162042
1,0.2,2.66216657148265e-05,0.002483751238774,0.00863602911356588
1,0.21,3.38656395170111e-05,0.00246471327623947,0.00842451164298862
1,0.22,4.54418788693561e-05,0.00232772419909951,0.00856849355760195
1,0.23,1.99574977953695e-05,0.00266994131785471,0.00787670788425146
1,0.24,3.71418984687367e-05,0.00246773416861079,0.00847016329392128
1,0.25,6.04199745810208e-05,0.00220742216380429,0.00864049090640091
1,0.26,5.09670856094761e-05,0.00237127973300219,0.00829212047892775
1,0.27,7.13500791685226e-05,0.00213209580389768,0.0088179588951687
1,0.28,4.40285540670365e-05,0.00241717672909918,0.00815066691857059
1,0.29,2.09512374127845e-05,0.00267143285786186,0.00792817845905061
1,0.3,8.51829127351075e-05,0.00210952452094944,0.00871439615408186
1,0.31,6.09970405049391e-05,0.00226221688860702,0.00847371673150567
1,0.32,0.000103875161328552,0.00184582707282174,0.00919938396481265
1,0.33,5.52935854959101e-05,0.00230752752170164,0.00859572969025787
1,0.34,0.000108772310173297,0.00198818831961886,0.00891949871586187
1,0.35,6.71943320930214e-05,0.00227967660251097,0.00855608652638428
1,0.36,9.67918868482563e-05,0.00207963494948607,0.00880485810973413
2,0.06,-8.77157165896961e-06,0.0039124289731164,0.00895757343665763
2,0.07,-5.11660667701289e-06,0.00360197230420829,0.00906038092065129
2,0.08,-9.36458154176837e-07,0.00346796959623031,0.00835538576298592
2,0.09,9.09602380695871e-06,0.0031187517253356,0.00899628335865298
2,0.1,9.93687563156794e-06,0.003086021486586,0.008616565151976
2,0.11,1.93056233060092e-05,0.00290558516864288,0.00872676327050538
2,0.12,3.29928423144334e-05,0.00268240800972709,0.00884645920223642
2,0.13,5.15291775434176e-05,0.00236004672528141,0.00956793195463981
2,0.14,5.45754849225346e-05,0.00240913887380422,0.00912243864213814
2,0.15,5.29710625473483e-05,0.00245780613989939,0.00871336747628292
2,0.16,6.1775109625971e-05,0.00236877077711822,0.00884123144957518
2,0.17,5.39795657380715e-05,0.0025118807544136,0.00837306090443668
2,0.18,7.45355424853002e-05,0.00223036143150224,0.00902427761216472
2,0.19,8.80678993423589e-05,0.00218415603928289,0.00881025355088095
2,0.2,8.99231147613895e-05,0.00211717223523986,0.00894649793082421
