Wind,JerlovType,a,b,c,d
1,III,-2.45131391541472e-06,0.000270974522438359,-0.000485143496064955,0.0212565904919289
1,IC,-3.73535314159423e-06,0.000398203587129705,-0.000538628278839798,0.0193597494455897
1,3C,-4.65990934434701e-06,0.000517586341993267,7.67578845037234e-05,0.0174993848039969
1,5C,-7.77170400836511e-06,0.000791083444882486,0.00143848616670582,0.016728996813274
1,7C,-5.10484899203432e-06,0.00140239316938956,0.00404269905893744,0.0179176030442402
1,9C,1.52291176702287e-05,0.00183405766992502,0.00563748043689083,0.0185620479383156
3,III,-2.41576465993499e-06,0.000266868395754489,-0.000311943506978168,0.0215825955579604
3,IC,-3.74515732363704e-06,0.000396821489319555,-0.00042023042192767,0.0195927273024955
3,3C,-4.74342547499006e-06,0.000518100970257778,0.000171629448184305,0.0176232112148338
3,5C,-7.68001359752084e-06,0.000784596883991214,0.00157563231188354,0.0167285400813986
3,7C,-3.74537216089228e-06,0.00137340746873395,0.00426856236750517,0.0178373550767597
3,9C,1.76979525285914e-05,0.00180578022849349,0.00581084316370138,0.0185587964316678
5,III,-2.30527832281321e-06,0.00025288126843673,0.000430422502187778,0.0220716566489529
5,IC,-3.72009955883824e-06,0.00038460365493592,0.000250129281944933,0.0197974118234955
5,3C,-4.70568730942113e-06,0.000500762351519861,0.000845065167201435,0.0174873027832598
5,5C,-6.8307934488744e-06,0.000743451311000303,0.00228152550988997,0.0163882557823934
5,7C,-1.94519443869531e-06,0.00132292022093685,0.00484868876962144,0.0177454001492701
5,9C,1.37299386412937e-05,0.00181869400893707,0.00614586996737764,0.0187999633516229
7,III,-2.23774913823708e-06,0.000243083723972789,0.000916073895417037,0.0226030718151826
7,IC,-3.53609651254425e-06,0.000368097499511372,0.000781640839172674,0.019901068868471
7,3C,-4.55187430404261e-06,0.00048766794580774,0.00124740986884426,0.0175602775740253
7,5C,-6.62987748347883e-06,0.000729232916641923,0.00260662705089873,0.0164326460058336
7,7C,-1.16868117421913e-06,0.00130633356408818,0.00509392802959029,0.0179553396652645
7,9C,1.47838639375224e-05,0.00179573628038948,0.00645502793178571,0.0188421309437178
9,III,-2.18853559203402e-06,0.000239074532400604,0.00104700853203253,0.0226361135287185
9,IC,-3.45802131388462e-06,0.000365133054692889,0.000856574226796116,0.0199624835297586
9,3C,-4.24870632368883e-06,0.000471396880352653,0.00150872551653478,0.0172006941752049
9,5C,-7.3142722484359e-06,0.00074083836143241,0.00261726721680021,0.0165459880443254
9,7C,-1.35534005364556e-06,0.00130179513657091,0.00520710006106514,0.0178412121533664
9,9C,2.87535880829787e-05,0.00164119579330707,0.00695157643553886,0.0185915984102281
