Wind,JerlovType,a,b
1,III,3.43780852372321,0.976573834293909
1,IC,2.98689728205166,0.850745149950056
1,3C,2.45741985840395,0.62412367454913
1,7C,1.67719390910692,0.170592626892248
5,III,3.53050578418848,0.975075899502722
5,IC,3.05228734715363,0.854118939971348
5,3C,2.49857320856264,0.628571498837954
5,7C,1.68217264610257,0.17079035602471
9,III,3.58617176868288,0.973164677778547
9,IC,3.09167407495144,0.856257293934211
9,3C,2.52310519934736,0.630903010922722
9,7C,1.68560862296877,0.171402330674235
