Wind,JerlovType,a,b
1,III,0.000364936156506112,0.000153035768559548
1,IC,0.000161818118396098,0.000170107097469566
1,3C,-0.000109970319109731,0.000180913166482627
1,7C,4.82219024982247e-07,0.000305842557831159
5,III,0.0238473414033352,0.00190624146955645
5,IC,0.0196639407182433,0.00156382181224428
5,3C,0.014816581016836,0.00141557233926549
5,7C,0.00600907040811785,0.000657377289218463
9,III,0.0327743294179796,0.00242195286140779
9,IC,0.0263009792186441,0.00202716281700859
9,3C,0.0196752992575117,0.0017932545307683
9,7C,0.00823065728988205,0.000749817586573402
