Wind,JerlovType,a,b
1,III,-3.31175064026073e-07,0.000799347313635649
1,IC,-1.38145836409181e-07,0.000745255598598352
1,3C,1.02884882365433e-06,0.000662277520262867
1,7C,-1.71686559447536e-06,0.000719836024627648
5,III,0.0133879916629377,0.00322304946060197
5,IC,0.014085068744366,0.00328746460524186
5,3C,0.013094707085452,0.00346247527707097
5,7C,0.00925920292354909,0.00318767945302656
9,III,0.0158361099107253,0.00388009832546532
9,IC,0.0168278662346922,0.00381422956823042
9,3C,0.0159754020221241,0.00386443718017046
9,7C,0.011154296999799,0.00368011146944389
