Wind,JerlovType,a,b,c,d
1,III,-2.44985741804411e-06,0.000273778346494619,-0.000533852286360442,0.0183346393570902
1,IC,-4.14337461825648e-06,0.000420159879324846,-0.000806491661723538,0.016221400434764
1,3C,-5.99834857716249e-06,0.000570063836348139,-0.00046777637894854,0.014052235007352
1,7C,-2.19456834515622e-05,0.00155236410147406,0.00227532275501552,0.0132283130013042
5,III,-2.27681690372924e-06,0.000253341292266033,0.000416475865366364,0.019442358985302
5,IC,-3.98165133422143e-06,0.000398990420824256,6.50147115767539e-05,0.0168528678370565
5,3C,-5.70550903012114e-06,0.000542856922362699,0.000359608170111789,0.0143017573557292
5,7C,-1.77603226482758e-05,0.00145293687580234,0.0031527735532335,0.0129421894685086
9,III,-2.05198569816779e-06,0.000233440927736837,0.00111976174573467,0.0199704252523804
9,IC,-3.85318572231291e-06,0.000385101454917767,0.000616177096080436,0.0173166094727294
9,3C,-5.48643916349383e-06,0.00052359477603525,0.000902061809913487,0.014424643443136
9,7C,-1.5650382803235e-05,0.00139737985527919,0.00366806607448063,0.0128872213770457
