Wind,JerlovType,a,b
1,III,0.000403287216772487,0.000155184569540749
1,IC,0.000194957355772085,0.000170545937726744
1,3C,0.00010526633855879,0.000185076530549405
1,5C,3.89900295815493e-05,0.000227389872320754
1,7C,-2.44685211013289e-07,0.000308699443944847
1,9C,-0.00016205098294133,0.000245420566546067
3,III,0.012273484647799,0.00100865610902591
3,IC,0.0103383948385623,0.00084917906526083
3,3C,0.00784927948213821,0.000755737178610164
3,5C,0.00551597271589214,0.00055008006844383
3,7C,0.00290485112892545,0.000463484116717012
3,9C,0.00223307595001009,0.000486462035025495
5,III,0.0244412298437801,0.00181359137415181
5,IC,0.0200308500598828,0.00152849283994983
5,3C,0.015399160799692,0.00133718705814473
5,5C,0.00999722877458263,0.000954470825354123
5,7C,0.00609483951651685,0.000633022475869054
5,9C,0.00452496440466516,0.000752362566566079
7,III,0.0322361231715441,0.00223747258498464
7,IC,0.0256820148848934,0.00189503369751113
7,3C,0.0191694224376319,0.00164128167413297
7,5C,0.0132460318359235,0.00118581683706331
7,7C,0.00760456434259811,0.000731662680251134
7,9C,0.00547217058953908,0.000931496072704567
9,III,0.0342713257910018,0.00232026144296216
9,IC,0.0270071050960941,0.00197499045443655
9,3C,0.0202159414822324,0.00171962795276426
9,5C,0.014351989807178,0.00117930092332754
9,7C,0.00783848035478634,0.000799655362377592
9,9C,0.0055015532398135,0.000993542499281568
