Wind,JerlovType,a,b
1,III,-1.12071913162985e-07,0.00106751600347572
1,IC,2.12729964180714e-07,0.00100342731879097
1,3C,8.00122340582413e-09,0.000932801963985769
1,7C,7.61964833325435e-06,0.00102586631574763
5,III,0.0140499147008335,0.00310745734990429
5,IC,0.0157850899976899,0.00304102576626116
5,3C,0.0163946517296345,0.00288894645113964
5,7C,0.010698701393748,0.00230000507512094
9,III,0.0165516682601227,0.00376748633308072
9,IC,0.0188256976144237,0.00357498400314979
9,3C,0.0187767329322133,0.00345723330514083
9,7C,0.0132256855823189,0.00252771322927355
